Repository;PathDataset;N_TestNonFlaky;N_TestFlaky;N_TestFlakyPersi;N_TF_NonRilevatiDalDetector;Lista_TF_NonRilevatiDalDetector
Mapper;D:\Universita\FlakyPaper\DataSet\CSV\Mapper.csv;39;3;2;[];[]
Mapper(3c0b3307011fad53f811e08d05147d94fc6c0d67);D:\Universita\FlakyPaper\DataSet\CSV\Mapper(3c0b3307011fad53f811e08d05147d94fc6c0d67).csv;59;0;70;[];[]
mercury;D:\Universita\FlakyPaper\DataSet\CSV\mercury.csv;370;0;1;[];[]
Activiti;D:\Universita\FlakyPaper\DataSet\CSV\Activiti.csv;1002;22;3;[];[]
captivate-prime-aem-components;D:\Universita\FlakyPaper\DataSet\CSV\captivate-prime-aem-components.csv;40;1;0;[];[]
adyen-java-api-library;D:\Universita\FlakyPaper\DataSet\CSV\adyen-java-api-library.csv;247;45;3;[];[]
netty;D:\Universita\FlakyPaper\DataSet\CSV\netty.csv;1817;0;1;[];[]
asyncload;D:\Universita\FlakyPaper\DataSet\CSV\asyncload.csv;41;0;1;[];[]
easy-retry;D:\Universita\FlakyPaper\DataSet\CSV\easy-retry.csv;8;5;0;[];[]
easyexcel;D:\Universita\FlakyPaper\DataSet\CSV\easyexcel.csv;181;2;0;[];[]
fastjson;D:\Universita\FlakyPaper\DataSet\CSV\fastjson.csv;2419;0;1;[];[]
fastjson(e05e9c5e4be580691cc55a59f3256595393203a1);D:\Universita\FlakyPaper\DataSet\CSV\fastjson(e05e9c5e4be580691cc55a59f3256595393203a1).csv;1970;25;18;[];[]
fastjson(3ea25de368b185e3c9f3d56e46a4cfcdb9265318);D:\Universita\FlakyPaper\DataSet\CSV\fastjson(3ea25de368b185e3c9f3d56e46a4cfcdb9265318).csv;2388;11;3;[];[]
fastjson(93d8c01e907fe35a8ff0eb5fe1c3b279d2f30282);D:\Universita\FlakyPaper\DataSet\CSV\fastjson(93d8c01e907fe35a8ff0eb5fe1c3b279d2f30282).csv;2465;3;1;[];[]
fastjson(5c6d6fd471ea1fab59f0df2dd31e0b936806780d);D:\Universita\FlakyPaper\DataSet\CSV\fastjson(5c6d6fd471ea1fab59f0df2dd31e0b936806780d).csv;2219;2;0;[];[]
fastjson(37ed66bcaa3b0c88c5f3f0b09e6b4029c72c14cd);D:\Universita\FlakyPaper\DataSet\CSV\fastjson(37ed66bcaa3b0c88c5f3f0b09e6b4029c72c14cd).csv;2414;1;1;[];[]
innodb-java-reader;D:\Universita\FlakyPaper\DataSet\CSV\innodb-java-reader.csv;138;0;45;[];[]
jetcache;D:\Universita\FlakyPaper\DataSet\CSV\jetcache.csv;161;2;2;[];[]
jetcache(d9a26f0bcfaef1a7fb6b374be500d2f2d947306d);D:\Universita\FlakyPaper\DataSet\CSV\jetcache(d9a26f0bcfaef1a7fb6b374be500d2f2d947306d).csv;161;2;0;[];[]
nacos;D:\Universita\FlakyPaper\DataSet\CSV\nacos.csv;634;1;0;[];[]
nacos(a0543adafcfed733c0659454e58b3bcd605008a4);D:\Universita\FlakyPaper\DataSet\CSV\nacos(a0543adafcfed733c0659454e58b3bcd605008a4).csv;2179;5;0;[];[]
