,id,projectName,test_name,isFlaky,java_keywords,prediction
5,8987.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.getnocontent,0.0,"['final', 'new', 'new', 'public', 'void', 'new', 'int', 'public', 'void', 'throws']",False
6,8989.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.geturlencodedwithspace,1.0,"['final', 'new', 'new', 'public', 'void', 'public', 'void', 'throws']",True
23,9023.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.postmultiplefiles,0.0,"['final', 'new', 'new', 'public', 'void', 'new', 'new', 'new', 'int', 'public', 'void', 'throws']",False
29,9035.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.postemptyform,0.0,"['final', 'new', 'new', 'public', 'void', 'new', 'int', 'new', 'public', 'void', 'throws']",False
30,9037.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.chunkpost,0.0,"['final', 'new', 'final', 'new', 'new', 'public', 'void', 'new', 'int', 'public', 'void', 'throws']",False
38,9053.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.getbufferedreader,0.0,"['new', 'public', 'void', 'public', 'void', 'throws']",False
46,9069.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.dateheader,0.0,"['new', 'public', 'void', 'public', 'void', 'throws']",False
79,9132.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.senderrorclosestream,0.0,"['new', 'public', 'void', 'try', 'catch', 'final', 'new', 'new', 'public', 'int', 'throws', 'return', 'public', 'void', 'throws', 'throw', 'try', 'false', 'catch', 'public', 'void', 'throws']",False
87,9150.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.getsingleparameter,0.0,"['new', 'public', 'void', 'public', 'void', 'throws']",False
94,9164.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.getemptyparameters,0.0,"['new', 'public', 'void', 'public', 'void', 'throws']",False
95,9166.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.getparameters,0.0,"['new', 'public', 'void', 'public', 'void', 'throws']",False
98,9172.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.missingdateheader,0.0,"['new', 'public', 'void', 'public', 'void', 'throws']",False
103,9182.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.postformentrywithnullvalue,0.0,"['final', 'new', 'new', 'public', 'void', 'new', 'new', 'null', 'for', 'int', 'public', 'void', 'throws']",False
105,9186.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.postwithvaragsqueryparams,1.0,"['final', 'new', 'final', 'new', 'new', 'public', 'void', 'false', 'public', 'void', 'throws']",False
116,9208.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.deletewithescapedvarargsqueryparams,0.0,"['final', 'new', 'final', 'new', 'new', 'public', 'void', 'true', 'public', 'void', 'throws']",False
146,9249.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.notmodifiedcode,0.0,"['new', 'public', 'void', 'public', 'void', 'throws']",False
158,9277.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.uploadprogresssendbytearray,0.0,"['final', 'new', 'new', 'public', 'void', 'new', 'final', 'byte', 'final', 'new', 'new', 'public', 'void', 'long', 'long', 'public', 'void', 'throws']",False
1,8981.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.malformedstringurlcause,0.0,"['try', 'catch', 'public', 'void']",False
12,9001.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.optionsurlempty,0.0,"['final', 'new', 'new', 'public', 'void', 'new', 'public', 'void', 'throws']",False
19,9015.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.postempty,0.0,"['final', 'new', 'new', 'public', 'void', 'int', 'public', 'void', 'throws']",False
31,9039.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.getnonemptystring,0.0,"['new', 'public', 'void', 'public', 'void', 'throws']",False
37,9051.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.sendwithwriter,0.0,"['final', 'new', 'new', 'public', 'void', 'new', 'public', 'void', 'throws']",False
48,9073.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.locationheader,0.0,"['new', 'public', 'void', 'public', 'void', 'throws']",False
51,9079.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.requestcontenttype,0.0,"['final', 'new', 'new', 'public', 'void', 'public', 'void', 'throws']",False
52,9081.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.requestcontenttypenullcharset,0.0,"['final', 'new', 'new', 'public', 'void', 'null', 'public', 'void', 'throws']",False
53,9083.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.requestcontenttypeemptycharset,0.0,"['final', 'new', 'new', 'public', 'void', 'public', 'void', 'throws']",False
57,9091.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.getallheaders,0.0,"['new', 'public', 'void', 'public', 'void', 'throws']",False
60,9097.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.acceptheader,0.0,"['final', 'new', 'new', 'public', 'void', 'public', 'void', 'throws']",False
99,9174.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.malformeddateheader,0.0,"['new', 'public', 'void', 'public', 'void', 'throws']",False
107,9190.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.postwithescapedvarargsqueryparams,1.0,"['final', 'new', 'final', 'new', 'new', 'public', 'void', 'true', 'public', 'void', 'throws']",False
134,9235.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.appendemptyvarargsqueryparams,0.0,"['new', 'public', 'void', 'throws']",False
143,9244.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.appendlistqueryparams,0.0,"['new', 'new', 'new', 'new', 'new', 'new', 'public', 'void', 'throws']",False
155,9269.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.bodyofnonemptyerrorresponse,0.0,"['new', 'public', 'void', 'try', 'catch', 'public', 'void', 'throws']",False
33,9043.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.getwithresponsecharsetassecondparam,0.0,"['new', 'public', 'void', 'public', 'void', 'throws']",False
36,9049.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.getreader,0.0,"['new', 'public', 'void', 'new', 'public', 'void', 'throws']",False
41,9059.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.geterror,0.0,"['new', 'public', 'void', 'public', 'void', 'throws']",False
49,9075.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.contentencodingheader,0.0,"['new', 'public', 'void', 'public', 'void', 'throws']",False
56,9089.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.emptyheaders,0.0,"['new', 'public', 'void', 'public', 'void', 'throws']",False
59,9095.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.useragentheader,0.0,"['final', 'new', 'new', 'public', 'void', 'public', 'void', 'throws']",False
65,9107.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.ifmodifiedsinceheader,0.0,"['final', 'new', 'new', 'public', 'void', 'public', 'void', 'throws']",False
69,9115.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.receiveappendable,0.0,"['throws', 'public', 'void', 'throws', 'final', 'new', 'new', 'public', 'void', 'try', 'catch']",False
83,9142.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.getgzipped,0.0,"['new', 'public', 'void', 'if', 'return', 'try', 'new', 'catch', 'throw', 'new', 'try', 'catch', 'throw', 'new', 'finally', 'try', 'catch', 'true', 'public', 'void', 'throws']",False
85,9146.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.getheaders,0.0,"['new', 'public', 'void', 'public', 'void', 'throws']",False
88,9152.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.getmultipleparameters,0.0,"['new', 'public', 'void', 'public', 'void', 'throws']",False
100,9176.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.missingintheader,0.0,"['new', 'public', 'void', 'public', 'void', 'throws']",False
104,9184.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.postwithmappedqueryparams,1.0,"['new', 'final', 'new', 'final', 'new', 'new', 'public', 'void', 'false', 'public', 'void', 'throws']",True
128,9229.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.appendvarargsqueryparamswithpath,0.0,"['public', 'void', 'throws']",False
137,9238.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.appendoddnumberofparams,0.0,"['public', 'void']",False
142,9243.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.appendarrayqueryparams,0.0,"['new', 'new', 'int', 'new', 'int', 'new', 'int', 'new', 'new', 'int', 'public', 'void', 'throws']",False
4,8985.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.geturlempty,0.0,"['final', 'new', 'new', 'public', 'void', 'new', 'int', 'public', 'void', 'throws']",False
8,8993.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.geturlencodedwithpercent,1.0,"['final', 'new', 'new', 'public', 'void', 'public', 'void', 'throws']",True
13,9003.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.headempty,0.0,"['final', 'new', 'new', 'public', 'void', 'public', 'void', 'throws']",False
27,9031.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.postform,0.0,"['final', 'new', 'final', 'new', 'new', 'public', 'void', 'new', 'new', 'int', 'public', 'void', 'throws']",False
28,9033.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.postformwithnocharset,0.0,"['final', 'new', 'final', 'new', 'new', 'public', 'void', 'new', 'new', 'int', 'null', 'public', 'void', 'throws']",False
64,9105.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.acceptencodingheader,0.0,"['final', 'new', 'new', 'public', 'void', 'public', 'void', 'throws']",False
77,9127.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.singlesslsocketfactory,1.0,"['public', 'void']",False
78,9128.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.senderrorreadstream,0.0,"['new', 'public', 'void', 'try', 'catch', 'final', 'new', 'final', 'new', 'new', 'public', 'int', 'throws', 'throw', 'public', 'void', 'throws', 'throw', 'try', 'catch', 'public', 'void', 'throws']",False
82,9140.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.gettooutputbodywithcharset,0.0,"['throws', 'public', 'void', 'throws', 'new', 'public', 'void', 'try', 'catch', 'new', 'null']",False
118,9212.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.putwithvarargsqueryparams,0.0,"['final', 'new', 'final', 'new', 'new', 'public', 'void', 'false', 'public', 'void', 'throws']",True
119,9214.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.putwithescapedmappedqueryparams,0.0,"['new', 'final', 'new', 'final', 'new', 'new', 'public', 'void', 'true', 'public', 'void', 'throws']",False
121,9218.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.headwithmappedqueryparams,0.0,"['new', 'final', 'new', 'final', 'new', 'new', 'public', 'void', 'false', 'public', 'void', 'throws']",False
129,9230.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.appendmultiplemappedqueryparams,0.0,"['new', 'public', 'void', 'throws']",False
131,9232.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.appendnullmappedqueryparams,0.0,"['null', 'public', 'void', 'throws']",False
135,9236.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.appendwithnullmappedqueryparamvalues,0.0,"['new', 'null', 'null', 'public', 'void', 'throws']",False
147,9251.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.sendreceivewithoutcode,0.0,"['throws', 'public', 'void', 'throws', 'final', 'new', 'new', 'public', 'void', 'new', 'try', 'catch', 'false']",False
10,8997.0,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.deleteurlempty,0.0,"['final', 'new', 'new', 'public', 'void', 'new', 'public', 'void', 'throws']",False
