,id,nameProject,testCase,isFlaky,predictionStaticApproach,predictionFlakeFlaggerApproach,predictionVocabularyApproach,predictionCombinedApproach
0,7027,logback,ch.qos.logback.classic.asyncappendertest.eventwaspreparedfordeferredprocessing,False,False,False,False,False
1,7028,logback,ch.qos.logback.classic.asyncappendertest.settingincludecallerdatapropertycausedcallerdatatobeincluded,False,False,False,False,False
2,6981,logback,ch.qos.logback.classic.boolex.geventevaluatortest.callerdata,False,False,False,False,False
3,6974,logback,ch.qos.logback.classic.boolex.geventevaluatortest.event,False,False,False,False,False
4,6976,logback,ch.qos.logback.classic.boolex.geventevaluatortest.level,False,False,False,False,False
5,6978,logback,ch.qos.logback.classic.boolex.geventevaluatortest.marker,False,False,False,False,False
6,6980,logback,ch.qos.logback.classic.boolex.geventevaluatortest.mdc,False,False,False,False,False
7,6975,logback,ch.qos.logback.classic.boolex.geventevaluatortest.msgregex,False,False,False,False,False
8,6977,logback,ch.qos.logback.classic.boolex.geventevaluatortest.nullmarker,False,False,False,False,False
9,6979,logback,ch.qos.logback.classic.boolex.geventevaluatortest.nullmdc,False,False,False,False,False
10,6973,logback,ch.qos.logback.classic.boolex.geventevaluatortest.smoke,False,False,False,False,False
11,6982,logback,ch.qos.logback.classic.boolex.geventevaluatortest.startmakesisstartedreturntrue,False,False,False,False,False
12,6961,logback,ch.qos.logback.classic.boolex.janinoeventevaluatortest.evaluatorfilterwithnullmarker_lbcore_118,False,False,False,False,False
13,6959,logback,ch.qos.logback.classic.boolex.janinoeventevaluatortest.marker,False,False,False,False,False
14,6958,logback,ch.qos.logback.classic.boolex.janinoeventevaluatortest.mdcasstring,False,False,False,False,False
15,6969,logback,ch.qos.logback.classic.boolex.janinoeventevaluatortest.nullmdc,False,False,False,False,False
16,6954,logback,ch.qos.logback.classic.boolex.janinoeventevaluatortest.testbasic,False,False,False,False,False
17,6963,logback,ch.qos.logback.classic.boolex.janinoeventevaluatortest.testbogusexp1,False,False,False,False,False
18,6964,logback,ch.qos.logback.classic.boolex.janinoeventevaluatortest.testbogusexp2,False,False,False,False,False
19,6962,logback,ch.qos.logback.classic.boolex.janinoeventevaluatortest.testcomplex,False,False,False,False,False
20,6955,logback,ch.qos.logback.classic.boolex.janinoeventevaluatortest.testlevel,False,False,False,False,False
21,6965,logback,ch.qos.logback.classic.boolex.janinoeventevaluatortest.testloop1,False,False,False,False,False
22,6966,logback,ch.qos.logback.classic.boolex.janinoeventevaluatortest.testloop2,False,False,False,False,False
23,6956,logback,ch.qos.logback.classic.boolex.janinoeventevaluatortest.testtimestamp,False,False,False,False,False
24,6957,logback,ch.qos.logback.classic.boolex.janinoeventevaluatortest.testwithmatcher,False,False,False,False,False
25,6967,logback,ch.qos.logback.classic.boolex.janinoeventevaluatortest.throwable_lbclassic_155_i,False,False,False,False,False
26,6968,logback,ch.qos.logback.classic.boolex.janinoeventevaluatortest.throwable_lbclassic_155_ii,False,False,False,False,False
27,6960,logback,ch.qos.logback.classic.boolex.janinoeventevaluatortest.withnullmarker_lbcore_118,False,False,False,False,False
28,6972,logback,ch.qos.logback.classic.boolex.onmarkerevaluatortest.nullmarkerinevaluator,False,False,False,False,False
29,6971,logback,ch.qos.logback.classic.boolex.onmarkerevaluatortest.nullmarkerinevent,False,False,False,False,False
30,6970,logback,ch.qos.logback.classic.boolex.onmarkerevaluatortest.smoke,False,False,False,False,False
31,7092,logback,ch.qos.logback.classic.corpustest.randomutiltest.smoke,False,False,False,False,False
32,7091,logback,ch.qos.logback.classic.corpustest.textfileutiltest.smoke,False,False,False,False,False
33,7093,logback,ch.qos.logback.classic.db.dbappenderhsqltest.testappendloggingevent,False,True,False,False,False
34,7096,logback,ch.qos.logback.classic.db.dbappenderhsqltest.testappendmultipleevents,False,False,False,False,False
35,7094,logback,ch.qos.logback.classic.db.dbappenderhsqltest.testappendthrowable,False,False,False,False,False
36,7095,logback,ch.qos.logback.classic.db.dbappenderhsqltest.testcontextinfo,False,False,False,False,False
37,7103,logback,ch.qos.logback.classic.db.names.defaultdbnameresolvertest.testgetloggingeventcolumnname,False,False,False,False,False
38,7105,logback,ch.qos.logback.classic.db.names.defaultdbnameresolvertest.testgetloggingeventexceptioncolumnname,False,False,False,False,False
39,7104,logback,ch.qos.logback.classic.db.names.defaultdbnameresolvertest.testgetloggingeventpropertycolumnname,False,False,False,False,False
40,7106,logback,ch.qos.logback.classic.db.names.defaultdbnameresolvertest.testgettablename,False,False,False,False,False
41,7114,logback,ch.qos.logback.classic.db.names.simpledbnameresolvertest.shouldhandlenullsasemptystrings,False,False,False,False,False
42,7112,logback,ch.qos.logback.classic.db.names.simpledbnameresolvertest.shouldreturncolumnnamewithbothprefixandsuffix,False,False,False,False,False
43,7110,logback,ch.qos.logback.classic.db.names.simpledbnameresolvertest.shouldreturncolumnnamewithprefix,False,False,False,False,False
44,7111,logback,ch.qos.logback.classic.db.names.simpledbnameresolvertest.shouldreturncolumnnamewithsuffix,False,False,False,False,False
45,7113,logback,ch.qos.logback.classic.db.names.simpledbnameresolvertest.shouldreturntableandcolumnnameswithbothprefixandsuffix,False,False,False,False,False
46,7109,logback,ch.qos.logback.classic.db.names.simpledbnameresolvertest.shouldreturntablenamewithbothprefixandsuffix,False,False,False,False,False
47,7107,logback,ch.qos.logback.classic.db.names.simpledbnameresolvertest.shouldreturntablenamewithprefix,False,False,False,False,False
48,7108,logback,ch.qos.logback.classic.db.names.simpledbnameresolvertest.shouldreturntablenamewithsuffix,False,False,False,False,False
49,7098,logback,ch.qos.logback.classic.db.sqlbuildertest.shouldreturndefaultsqlinsertexceptionquery,False,False,False,False,False
50,7097,logback,ch.qos.logback.classic.db.sqlbuildertest.shouldreturndefaultsqlinsertloggingeventquery,False,False,False,False,False
51,7099,logback,ch.qos.logback.classic.db.sqlbuildertest.shouldreturndefaultsqlinsertloggingpropertyquery,False,False,False,False,False
52,7101,logback,ch.qos.logback.classic.db.sqlbuildertest.shouldreturnsimplesqlinsertexceptionquery,False,False,False,False,False
53,7100,logback,ch.qos.logback.classic.db.sqlbuildertest.shouldreturnsimplesqlinsertloggingeventquery,False,False,False,False,False
54,7102,logback,ch.qos.logback.classic.db.sqlbuildertest.shouldreturnsimplesqlinsertloggingpropertyquery,False,False,False,False,False
55,7142,logback,ch.qos.logback.classic.encoder.patternlayoutencodertest.charset,False,False,False,False,False
56,7141,logback,ch.qos.logback.classic.encoder.patternlayoutencodertest.smoke,False,False,False,False,False
57,7089,logback,ch.qos.logback.classic.html.htmllayouttest.layoutwithexception,False,False,False,False,False
58,7087,logback,ch.qos.logback.classic.html.htmllayouttest.testappendthrowable,False,False,False,False,False
59,7090,logback,ch.qos.logback.classic.html.htmllayouttest.testconversionrulesupportinhtmllayout,False,False,False,False,False
60,7088,logback,ch.qos.logback.classic.html.htmllayouttest.testdolayout,False,False,False,False,False
61,7085,logback,ch.qos.logback.classic.html.htmllayouttest.testheader,False,False,False,False,False
62,7086,logback,ch.qos.logback.classic.html.htmllayouttest.testpresentationheader,False,False,False,False,False
63,7236,logback,ch.qos.logback.classic.jmx.jmxconfiguratortest.contextreset,False,False,False,False,False
64,7237,logback,ch.qos.logback.classic.jmx.jmxconfiguratortest.contextstop,False,False,False,False,False
65,7239,logback,ch.qos.logback.classic.jmx.jmxconfiguratortest.getloggerlevel_lbclassic_78,False,False,False,False,False
66,7240,logback,ch.qos.logback.classic.jmx.jmxconfiguratortest.setloggerlevel_lbclassic_79,False,False,False,False,False
67,7238,logback,ch.qos.logback.classic.jmx.jmxconfiguratortest.testnonremovalofpreviousintancefromthecontextlistenerlist,False,False,False,False,False
68,7214,logback,ch.qos.logback.classic.joran.joranconfiguratortest.additivity,False,False,False,False,False
69,7217,logback,ch.qos.logback.classic.joran.joranconfiguratortest.appenderrefsettingbysystemproperty,False,False,False,False,False
70,7227,logback,ch.qos.logback.classic.joran.joranconfiguratortest.autoscanshouldreconfigureonfilechange,False,False,False,False,False
71,7219,logback,ch.qos.logback.classic.joran.joranconfiguratortest.contextrename,False,False,False,False,False
72,7230,logback,ch.qos.logback.classic.joran.joranconfiguratortest.encodercharset,False,False,False,False,False
73,7220,logback,ch.qos.logback.classic.joran.joranconfiguratortest.eval,False,False,False,False,False
74,7233,logback,ch.qos.logback.classic.joran.joranconfiguratortest.lbcore193,False,False,False,False,False
75,7213,logback,ch.qos.logback.classic.joran.joranconfiguratortest.level,False,False,False,False,False
76,7231,logback,ch.qos.logback.classic.joran.joranconfiguratortest.levelchangepropagator0,False,False,False,False,False
77,7232,logback,ch.qos.logback.classic.joran.joranconfiguratortest.levelchangepropagator1,False,False,False,False,False
78,7216,logback,ch.qos.logback.classic.joran.joranconfiguratortest.loggerlevelsettingbysystemproperty,False,False,False,False,False
79,7234,logback,ch.qos.logback.classic.joran.joranconfiguratortest.properties,False,False,False,False,False
80,7215,logback,ch.qos.logback.classic.joran.joranconfiguratortest.rootloggerlevelsettingbysystemproperty,False,False,False,False,False
81,7212,logback,ch.qos.logback.classic.joran.joranconfiguratortest.simplelist,False,False,False,False,False
82,7218,logback,ch.qos.logback.classic.joran.joranconfiguratortest.statuslistener,False,False,False,False,False
83,7235,logback,ch.qos.logback.classic.joran.joranconfiguratortest.sysprops,False,False,False,False,False
84,7224,logback,ch.qos.logback.classic.joran.joranconfiguratortest.testevaluatorfilter,False,False,False,False,False
85,7223,logback,ch.qos.logback.classic.joran.joranconfiguratortest.testlevelfilter,False,False,False,False,False
86,7225,logback,ch.qos.logback.classic.joran.joranconfiguratortest.testturbodynamicthreshold,False,False,False,False,False
87,7226,logback,ch.qos.logback.classic.joran.joranconfiguratortest.testturbodynamicthreshold2,False,False,False,False,False
88,7222,logback,ch.qos.logback.classic.joran.joranconfiguratortest.testturbofilterwithstringlist,False,False,False,False,False
89,7228,logback,ch.qos.logback.classic.joran.joranconfiguratortest.timestamp,False,False,False,False,False
90,7229,logback,ch.qos.logback.classic.joran.joranconfiguratortest.timestamplocal,False,False,False,False,False
91,7221,logback,ch.qos.logback.classic.joran.joranconfiguratortest.turbofilter,False,False,False,False,False
92,7211,logback,ch.qos.logback.classic.jul.levelchangepropagatortest.gc,False,False,False,False,False
93,7210,logback,ch.qos.logback.classic.jul.levelchangepropagatortest.root,False,False,False,False,False
94,7209,logback,ch.qos.logback.classic.jul.levelchangepropagatortest.smoke,False,False,False,False,False
95,6997,logback,ch.qos.logback.classic.loggercontexttest.concurrentmodification,False,False,False,False,False
96,6996,logback,ch.qos.logback.classic.loggercontexttest.evaluatormappostreset,False,False,False,False,False
97,6995,logback,ch.qos.logback.classic.loggercontexttest.levelresettest,False,False,False,False,False
98,6992,logback,ch.qos.logback.classic.loggercontexttest.resettest,False,False,False,False,False
