id,projectName,testCase,isFlaky,prediction
15,Alluxio-alluxio,tachyon.journaltest.tabletest,1.0,True
16,Alluxio-alluxio,tachyon.journaltest.manyfiletest,1.0,True
74,Alluxio-alluxio,tachyon.inodefoldertest.isdirectorytest,0.0,False
76,Alluxio-alluxio,tachyon.inodefoldertest.getinodetypetest,0.0,False
79,Alluxio-alluxio,tachyon.inodefoldertest.setnametest,0.0,False
80,Alluxio-alluxio,tachyon.inodefoldertest.setparentidtest,0.0,False
83,Alluxio-alluxio,tachyon.blockinfotest.generateclientblockinfotest,0.0,False
100,Alluxio-alluxio,tachyon.masterinfotest.deletedirectorywithfilestest2,1.0,True
104,Alluxio-alluxio,tachyon.masterinfotest.clientfileinfoemptyfiletest,1.0,True
112,Alluxio-alluxio,tachyon.client.table.rawtabletest.getidtest,1.0,True
126,Alluxio-alluxio,tachyon.client.tachyonfstest.createrawtablewithinvalidpathexceptiontest2,1.0,True
132,Alluxio-alluxio,tachyon.client.tachyonfstest.renamefiletest2,1.0,True
134,Alluxio-alluxio,tachyon.client.tachyonfstest.lockblocktest1,1.0,True
138,Alluxio-alluxio,tachyon.client.tachyonfstest.unlockblocktest1,1.0,True
147,Alluxio-alluxio,tachyon.client.remoteblockinstreamtest.readtest3,1.0,True
149,Alluxio-alluxio,tachyon.client.remoteblockinstreamtest.readtest5,1.0,True
152,Alluxio-alluxio,tachyon.client.remoteblockinstreamtest.skiptest,1.0,True
155,Alluxio-alluxio,tachyon.client.tachyonfiletest.isinmemorytest3,1.0,True
171,Alluxio-alluxio,tachyon.command.tfsshelltest.mkdirexistingtest,1.0,True
175,Alluxio-alluxio,tachyon.command.tfsshelltest.renametest,1.0,True
182,Alluxio-alluxio,tachyon.command.tfsshelltest.fileinfotest,1.0,True
191,spring-projects-spring-boot,org.springframework.boot.gradle.classifiertests.classifierinbootextension,1.0,True
197,spring-projects-spring-boot,org.springframework.boot.gradle.repackagingtests.repackagingdisabledwithcustomrepackagedjar,1.0,True
201,spring-projects-spring-boot,org.springframework.boot.gradle.repackagingtests.repackagewithfiledependency,1.0,True
204,spring-projects-spring-boot,org.springframework.boot.gradle.installtests.cleaninstallapp,1.0,True
209,spring-projects-spring-boot,org.springframework.boot.loader.tools.repackagertests.nullsource,0.0,False
211,spring-projects-spring-boot,org.springframework.boot.loader.tools.repackagertests.directorysource,0.0,False
232,spring-projects-spring-boot,org.springframework.boot.loader.tools.repackagertests.dontrecompresszips,0.0,False
277,spring-projects-spring-boot,org.springframework.boot.loader.asciibytestests.createfrombyteswithoffset,0.0,False
