id,nameProject,testCase,isFlaky,prediction
10,alluxio,tachyon.journaltest.foldertest,True,True
19,alluxio,tachyon.journaltest.renametest,True,True
44,alluxio,tachyon.inodefiletest.equalstest,False,False
49,alluxio,tachyon.inodefiletest.reverseidtest,False,False
50,alluxio,tachyon.inodefiletest.setnametest,False,False
63,alluxio,tachyon.inoderawtabletest.setnametest,False,False
76,alluxio,tachyon.inodefoldertest.getinodetypetest,False,False
82,alluxio,tachyon.blockinfotest.localtiontest,False,False
116,alluxio,tachyon.client.table.rawtabletest.updatemetadatatest,True,True
137,alluxio,tachyon.client.tachyonfstest.lockblocktest4,True,True
154,alluxio,tachyon.client.tachyonfiletest.isinmemorytest2,True,True
155,alluxio,tachyon.client.tachyonfiletest.isinmemorytest3,True,True
156,alluxio,tachyon.client.tachyonfiletest.writeemptyfiletest,True,False
157,alluxio,tachyon.client.fileoutstreamtest.writetest1,True,True
174,alluxio,tachyon.command.tfsshelltest.rmnotexistingfiletest,True,True
179,alluxio,tachyon.command.tfsshelltest.copyfromlocallargetest,True,True
180,alluxio,tachyon.command.tfsshelltest.copytolocaltest,True,True
198,spring-boot,org.springframework.boot.gradle.repackagingtests.repackagingdisabledwithcustomrepackagedjarusingstringjartaskreference,True,True
202,spring-boot,org.springframework.boot.gradle.installtests.cleaninstall,True,True
214,spring-boot,org.springframework.boot.loader.tools.repackagertests.mainclassfound,False,False
217,spring-boot,org.springframework.boot.loader.tools.repackagertests.nomainclass,False,False
224,spring-boot,org.springframework.boot.loader.tools.repackagertests.destinationisdirectory,False,False
233,spring-boot,org.springframework.boot.loader.tools.fileutilstests.simpleduplicatefile,False,False
244,spring-boot,org.springframework.boot.loader.tools.mainclassfindertests.findmainclassinsubfolder,False,False
258,spring-boot,org.springframework.boot.dependency.tools.pomdependenciestests.iterate,False,False
264,spring-boot,org.springframework.boot.dependency.tools.propertiesfiledependenciestests.iterate,False,False
267,spring-boot,org.springframework.boot.dependency.tools.propertiesfiledependenciestests.findbyartifactandgroupidonlyineffectivepom,False,False
272,spring-boot,org.springframework.boot.dependency.tools.manageddependenciestests.getspringbootversion,False,False
280,spring-boot,org.springframework.boot.loader.asciibytestests.startwith,False,False
281,spring-boot,org.springframework.boot.loader.asciibytestests.endswith,False,False
295,spring-boot,org.springframework.boot.loader.propertieslaunchertests.testuserspecifiedconfigname,False,False
303,spring-boot,org.springframework.boot.loader.propertieslaunchertests.testsystempropertyspecifiedmain,False,False
304,spring-boot,org.springframework.boot.loader.propertieslaunchertests.testsystempropertiesset,False,False
317,spring-boot,org.springframework.boot.loader.archive.jarfilearchivetests.getfilteredarchive,False,False
319,spring-boot,org.springframework.boot.loader.archive.explodedarchivetests.getentries,False,False
330,spring-boot,org.springframework.boot.loader.util.systempropertyutilstests.testdefaultvalue,False,False
340,spring-boot,org.springframework.boot.loader.jar.jarfiletests.getinputstream,False,False
345,spring-boot,org.springframework.boot.loader.jar.jarfiletests.createentryurl,False,False
348,spring-boot,org.springframework.boot.loader.jar.jarfiletests.getentryurlstream,False,False
375,spring-boot,org.springframework.boot.loader.data.randomaccessdatafiletests.inputstreamskippastend,False,False
397,spring-boot,org.springframework.boot.maven.runargumentstests.parsewithextraspaces,False,False
399,spring-boot,org.springframework.boot.maven.runargumentstests.quotehandledproperly,False,False
407,spring-boot,org.springframework.boot.maven.excludefiltertests.excludeclassifiernotargetclassifier,False,False
413,spring-boot,sample.tomcat.sampletomcatapplicationtests.testhome,False,False
416,spring-boot,sample.data.mongo.samplemongoapplicationtests.testdefaultsettings,False,True
