features_structure,project,Precision,Recall,FM
Flake-Flagger-Features,spring-projects-spring-boot,0.90,0.74,0.80
Flake-Flagger-Features,apache-incubator-dubbo,0.76,0.5,0.0.58
Flake-Flagger-Features,square-okhttp,0.41,0.41,0.39
Flake-Flagger-Features,activiti-activiti,0.31,0.30,0.29
Flake-Flagger-Features,qos-ch-logback,0.1,0.1,0.1
Flake-Flagger-Features,hector-client-hector,0.73,0.81,0.76
Flake-Flagger-Features,apache-hbase,0.91,0.90,0.90
Flake-Flagger-Features,apache-httpcore,0.48,0.80,0.58
Flake-Flagger-Features,Alluxio-alluxio,0.99,1,0.99
Vocabulary-Features,spring-projects-spring-boot,0.88,0.72,0.78
Vocabulary-Features,apache-incubator-dubbo,0.71,0.55,0.59
Vocabulary-Features,square-okhttp,0.58,0.30,0.38
Vocabulary-Features,activiti-activiti,0.54,0.70,0.59
Vocabulary-Features,qos-ch-logback,0.0,0.0,0.00
Vocabulary-Features,hector-client-hector,0.87,0.80,0.81
Vocabulary-Features,apache-hbase,0.79,0.78,0.78
Vocabulary-Features,apache-httpcore,0.59,0.75,0.64
Vocabulary-Features,Alluxio-alluxio,1.0,0.99,0.99
Vocabulary-with-flakeFlagger,spring-projects-spring-boot,0.89,0.75,0.81
Vocabulary-with-flakeFlagger,apache-incubator-dubbo,0.91,0.70,0.76
Vocabulary-with-flakeFlagger,square-okhttp,0.74,0.31,0.43
Vocabulary-with-flakeFlagger,activiti-activiti,0.56,0.70,0.61
Vocabulary-with-flakeFlagger,qos-ch-logback,0.5,0.13,0.2
Vocabulary-with-flakeFlagger,hector-client-hector,0.92,0.86,0.88
Vocabulary-with-flakeFlagger,apache-hbase,0.92,0.92,0.92
Vocabulary-with-flakeFlagger,apache-httpcore,0.44,0.65,0.50
Vocabulary-with-flakeFlagger,Alluxio-alluxio,1,1,1
Static-approach,spring-projects-spring-boot,0.87,0.74,0.79
Static-approach,apache-incubator-dubbo,0.76,0.65,0.68
Static-approach,square-okhttp,0.39,0.65,0.48
Static-approach,activiti-activiti,0.25,0.25,0.23
Static-approach,qos-ch-logback,0.50,0.20,0.28
Static-approach,hector-client-hector,0.76,0.81,0.74
Static-approach,apache-hbase,0.89,0.87,0.87
Static-approach,apache-httpcore,0.5,0.6,0.53
Static-approach,Alluxio-alluxio,0.98,0.9,0.93
