features_structure,project,Precision,Recall,FM
Flake-Flagger-Features,spring-projects-spring-boot,0.90,0.74,0.80
Flake-Flagger-Features,apache-incubator-dubbo,0.76,0.5,0.0.58
Flake-Flagger-Features,square-okhttp,0.41,0.41,0.39
Flake-Flagger-Features,activiti-activiti,0.31,0.30,0.29
Flake-Flagger-Features,qos-ch-logback,0.1,0.1,0.1
Flake-Flagger-Features,hector-client-hector,0.73,0.81,0.76
Flake-Flagger-Features,apache-hbase,0.91,0.90,0.90
Flake-Flagger-Features,apache-httpcore,0.48,0.80,0.58
Flake-Flagger-Features,Alluxio-alluxio,0.99,1,0.99
Flake-Flagger-Features,kevinsawicki-http-request,0.39,0.65,0.45
Flake-Flagger-Features,orbit-orbit,0.25,0.3,0.26
Flake-Flagger-Features,apache-ambari,0.92,0.84,0.87
Flake-Flagger-Features,wro4j-wro4j,0.50,0.58,0.66
Flake-Flagger-Features,tootallnate-java-websocket,0.96,0.91,0.92
Flake-Flagger-Features,undertow-io-undertow,0.20,0.50,0.20
Flake-Flagger-Features,ninjaframework-ninja,1,1,1
Flake-Flagger-Features,doanduyhai-Achilles,1,0.5,1
Flake-Flagger-Features,elasticjob-elastic-job-lite,0.25,0.33,0.27
Vocabulary-Features,spring-projects-spring-boot,0.88,0.72,0.78
Vocabulary-Features,apache-incubator-dubbo,0.71,0.55,0.59
Vocabulary-Features,square-okhttp,0.58,0.30,0.38
Vocabulary-Features,activiti-activiti,0.54,0.70,0.59
Vocabulary-Features,qos-ch-logback,0.0,0.0,0.00
Vocabulary-Features,hector-client-hector,0.87,0.80,0.81
Vocabulary-Features,apache-hbase,0.79,0.78,0.78
Vocabulary-Features,apache-httpcore,0.59,0.75,0.64
Vocabulary-Features,Alluxio-alluxio,1.0,0.99,0.99
Vocabulary-Features,kevinsawicki-http-request,0.45,0.30,0.35
Vocabulary-Features,orbit-orbit,0.15,0.20,0.16
Vocabulary-Features,apache-ambari,0.97,0.83,0.89
Vocabulary-Features,wro4j-wro4j,0.40,0.25,0.29
Vocabulary-Features,tootallnate-java-websocket,1,0.96,0.98
Vocabulary-Features,undertow-io-undertow,0.33,0.14,0.19
Vocabulary-Features,ninjaframework-ninja,1,1,1
Vocabulary-Features,doanduyhai-Achilles,1,0.5,1
Vocabulary-Features,elasticjob-elastic-job-lite,0,0,0
Vocabulary-with-flakeFlagger,spring-projects-spring-boot,0.89,0.75,0.81
Vocabulary-with-flakeFlagger,apache-incubator-dubbo,0.91,0.70,0.76
Vocabulary-with-flakeFlagger,square-okhttp,0.74,0.31,0.43
Vocabulary-with-flakeFlagger,activiti-activiti,0.56,0.70,0.61
Vocabulary-with-flakeFlagger,qos-ch-logback,0.5,0.13,0.2
Vocabulary-with-flakeFlagger,hector-client-hector,0.92,0.86,0.88
Vocabulary-with-flakeFlagger,apache-hbase,0.92,0.92,0.92
Vocabulary-with-flakeFlagger,apache-httpcore,0.44,0.65,0.50
Vocabulary-with-flakeFlagger,Alluxio-alluxio,1,1,1
Vocabulary-with-flakeFlagger,kevinsawicki-http-request,0.70,0.55,0.58
Vocabulary-with-flakeFlagger,orbit-orbit,0.66,0.5,0.56
Vocabulary-with-flakeFlagger,apache-ambari,1,0.9,0.94
Vocabulary-with-flakeFlagger,wro4j-wro4j,1,0.18,0.3
Vocabulary-with-flakeFlagger,tootallnate-java-websocket,1,0.96,0.98
Vocabulary-with-flakeFlagger,undertow-io-undertow,0.33,0.16,0.22
Vocabulary-with-flakeFlagger,ninjaframework-ninja,1,1,1
Vocabulary-with-flakeFlagger,doanduyhai-Achilles,0,0,0
Vocabulary-with-flakeFlagger,elasticjob-elastic-job-lite,0,0,0
myapproach,spring-projects-spring-boot,0.87,0.74,0.79
myapproach,square-okhttp,0.39,0.65,0.48
myapproach,activiti-activiti,0.25,0.25,0.23
myapproach,undertow-io-undertow,0.4,0.33,0.36
myapproach,kevinsawicki-http-request,0.55,0.75,0.61
myapproach,qos-ch-logback,0.50,0.20,0.28
myapproach,hector-client-hector,0.76,0.81,0.74
myapproach,apache-httpcore,0.5,0.6,0.53
myapproach,Alluxio-alluxio,0.98,0.9,0.93
myapproach,elasticjob-elastic-job-lite,0,0,0
myapproach,apache-incubator-dubbo,0.76,0.65,0.68
myapproach,ninjaframework-ninja,0.81,1.0,0.88
myapproach,orbit-orbit,0.5,0.5,0.5
myapproach,apache-ambari,0.98,0.9,0.93
myapproach,wro4j-wro4j,0.14,0.15,0.12
myapproach,apache-hbase,0.89,0.87,0.87
myapproach,tootallnate-java-websocket,1.0,0.96,0.98
myapproach,doanduyhai-Achilles,1.0,0.5,1.0
