,id,projectName,testCase,isFlaky,prediction
1,235.0,spring-projects-spring-boot,org.springframework.boot.gradle.nojartests.nojar,1.0,True
8,244.0,spring-projects-spring-boot,org.springframework.boot.gradle.springloadedtests.springloadedcanbeusedwithgradle16,1.0,True
22,273.0,spring-projects-spring-boot,org.springframework.boot.gradle.customversionmanagementtests.customspringversionisused,1.0,True
29,282.0,spring-projects-spring-boot,org.springframework.boot.loader.tools.repackagertests.jarisonlyrepackagedonce,0.0,False
38,291.0,spring-projects-spring-boot,org.springframework.boot.loader.tools.repackagertests.destinationisdirectory,0.0,False
52,315.0,spring-projects-spring-boot,org.springframework.boot.loader.tools.mainclassfindertests.findmainclassinjar,0.0,False
59,322.0,spring-projects-spring-boot,org.springframework.boot.loader.tools.mainclassfindertests.usesbreadthfirstfoldersearch,0.0,False
70,334.0,spring-projects-spring-boot,org.springframework.boot.dependency.tools.manageddependenciesdelegatetests.override,0.0,False
76,342.0,spring-projects-spring-boot,org.springframework.boot.dependency.tools.pomdependenciestests.findbyartifactidmissing,0.0,False
78,345.0,spring-projects-spring-boot,org.springframework.boot.dependency.tools.propertiesfiledependenciestests.iterate,0.0,False
83,350.0,spring-projects-spring-boot,org.springframework.boot.dependency.tools.propertiesfiledependenciestests.findbyartifactidmissing,0.0,False
92,360.0,spring-projects-spring-boot,org.springframework.boot.loader.asciibytestests.createfromstring,0.0,False
97,365.0,spring-projects-spring-boot,org.springframework.boot.loader.asciibytestests.substring,0.0,False
107,382.0,spring-projects-spring-boot,org.springframework.boot.loader.propertieslaunchertests.testdefaulthome,0.0,False
112,387.0,spring-projects-spring-boot,org.springframework.boot.loader.propertieslaunchertests.testuserspecifiedjarpath,0.0,False
114,389.0,spring-projects-spring-boot,org.springframework.boot.loader.propertieslaunchertests.testuserspecifiedclassloader,0.0,False
129,407.0,spring-projects-spring-boot,org.springframework.boot.loader.archive.jarfilearchivetests.getnestedarchive,0.0,False
150,437.0,spring-projects-spring-boot,org.springframework.boot.loader.jar.jarfiletests.getmanifestentry,0.0,False
171,459.0,spring-projects-spring-boot,org.springframework.boot.loader.jar.jarfiletests.sensibletostring,0.0,False
172,460.0,spring-projects-spring-boot,org.springframework.boot.loader.jar.jarfiletests.verifysignedjar,0.0,False
181,471.0,spring-projects-spring-boot,org.springframework.boot.loader.data.randomaccessdatafiletests.intputstreamreadnullbyteswithoffset,0.0,False
183,473.0,spring-projects-spring-boot,org.springframework.boot.loader.data.randomaccessdatafiletests.inputsteamreadoffsetbytes,0.0,False
190,480.0,spring-projects-spring-boot,org.springframework.boot.loader.data.randomaccessdatafiletests.subsectionnegativeoffset,0.0,False
203,495.0,spring-projects-spring-boot,org.springframework.boot.loader.data.bytearrayrandomaccessdatatests.testgetinputstream,0.0,False
206,498.0,spring-projects-spring-boot,org.springframework.boot.maven.propertiesmergingresourcetransformertests.testmerge,0.0,False
