,id,projectName,testCase,isFlaky,prediction
1,10855.0,wro4j-wro4j,ro.isdc.wro.extensions.model.factory.testconfigurablemodelfactory.shouldusecorrectdefaultstrategy,0.0,False
5,10863.0,wro4j-wro4j,ro.isdc.wro.extensions.model.factory.testjsonmodelfactory.createvalidmodel,0.0,False
16,10887.0,wro4j-wro4j,ro.isdc.wro.extensions.model.factory.testgroovymodelfactory.shouldbethreadsafe,0.0,False
26,10903.0,wro4j-wro4j,ro.isdc.wro.extensions.model.factory.testsmartwromodelfactory.shouldcreatemodelevenwhenfirstattemptfails,0.0,False
28,10911.0,wro4j-wro4j,ro.isdc.wro.extensions.model.factory.testsmartwromodelfactory.shouldinjectinnermodelfactories,0.0,False
35,10929.0,wro4j-wro4j,ro.isdc.wro.http.testwrofilter.testvalidappfactoryclassnameisset,0.0,False
41,10935.0,wro4j-wro4j,ro.isdc.wro.http.testwrofilter.testinvalidheaderparamisset,0.0,False
56,10968.0,wro4j-wro4j,ro.isdc.wro.http.testwrofilter.testreloadcachecall,0.0,False
80,11015.0,wro4j-wro4j,ro.isdc.wro.http.testwrocontextfilter.shouldinitializecontextforchainedfilters,0.0,False
89,11034.0,wro4j-wro4j,ro.isdc.wro.http.testwroservletcontextlistener.cannotsetnullwroconfiguration,0.0,False
96,11045.0,wro4j-wro4j,ro.isdc.wro.http.testgzipfilter.shouldgzipwhengzipsupported,0.0,False
105,11059.0,wro4j-wro4j,ro.isdc.wro.extensions.http.handler.testmodelasjsonrequesthandler.shouldaccepturi,0.0,False
114,11093.0,wro4j-wro4j,ro.isdc.wro.extensions.processor.testbourboncssprocessor.shouldbethreadsafe,1.0,False
116,11098.0,wro4j-wro4j,ro.isdc.wro.extensions.processor.testless4jprocessor.testfromfolder,0.0,False
121,11107.0,wro4j-wro4j,ro.isdc.wro.extensions.processor.testrhinotypescriptprocessor.testfromfolder,0.0,False
123,11111.0,wro4j-wro4j,ro.isdc.wro.extensions.processor.testrhinotypescriptprocessor.shouldfailwheninvalidtypescriptisprocessed,0.0,False
147,11176.0,wro4j-wro4j,ro.isdc.wro.extensions.processor.testcsslintprocessor.shouldsupportcorrectresourcetypes,0.0,False
153,11187.0,wro4j-wro4j,ro.isdc.wro.extensions.processor.testdustjsprocessor.shouldbethreadsafe,0.0,False
154,11189.0,wro4j-wro4j,ro.isdc.wro.extensions.processor.testdustjsprocessor.shouldsupportcorrectresourcetypes,0.0,False
157,11194.0,wro4j-wro4j,ro.isdc.wro.extensions.processor.testcjsonprocessor.shouldbethreadsafe,0.0,False
164,11211.0,wro4j-wro4j,ro.isdc.wro.extensions.processor.testpackerjsprocessor.shouldsupportcorrectresourcetypes,0.0,False
169,11219.0,wro4j-wro4j,ro.isdc.wro.extensions.processor.testrubysasscssprocessor.shouldsucceedafterafailure,1.0,False
177,11232.0,wro4j-wro4j,ro.isdc.wro.extensions.processor.testpathpatternprocessordecorator.cannotexcludenullprocessor,0.0,False
178,11233.0,wro4j-wro4j,ro.isdc.wro.extensions.processor.testpathpatternprocessordecorator.cannotprocesswithincludewhenresourceisunknown,0.0,False
181,11236.0,wro4j-wro4j,ro.isdc.wro.extensions.processor.testpathpatternprocessordecorator.shouldnotapplypatternswhenexcludematches,0.0,False
194,11267.0,wro4j-wro4j,ro.isdc.wro.extensions.processor.testgoogleclosurecompressorprocessor.testwhitespaceonly,0.0,False
196,11269.0,wro4j-wro4j,ro.isdc.wro.extensions.processor.testgoogleclosurecompressorprocessor.testadvancedoptimization,0.0,False
198,11272.0,wro4j-wro4j,ro.isdc.wro.extensions.processor.testgoogleclosurecompressorprocessor.shouldfailwheninvalidexternprovided,0.0,False
218,11310.0,wro4j-wro4j,ro.isdc.wro.extensions.processor.css.testlesscssprocessor.shouldsupportcorrectresourcetypes,0.0,False
252,11351.0,wro4j-wro4j,ro.isdc.wro.extensions.processor.support.linter.testjslint.shouldvalidatewithnooptions,0.0,False
254,11353.0,wro4j-wro4j,ro.isdc.wro.extensions.processor.support.linter.testjslint.shouldacceptbadoptions,0.0,False
260,11359.0,wro4j-wro4j,ro.isdc.wro.extensions.processor.support.linter.testjshint.shouldvalidatewithnooptions,0.0,False
261,11360.0,wro4j-wro4j,ro.isdc.wro.extensions.processor.support.linter.testjshint.shouldvalidatewithmultipleoptions,0.0,False
263,11362.0,wro4j-wro4j,ro.isdc.wro.extensions.processor.support.linter.testjshint.shouldvalidateinvalidscript,0.0,False
278,11378.0,wro4j-wro4j,ro.isdc.wro.extensions.processor.support.csslint.testcsslint.testregexselectors,0.0,False
280,11380.0,wro4j-wro4j,ro.isdc.wro.extensions.processor.support.csslint.testcsslint.shouldhavenoerrorwhennooptions,0.0,False
309,11422.0,wro4j-wro4j,ro.isdc.wro.extensions.support.lint.testreportxmlformatter.shouldnotfailwhennoerrorsarereported,0.0,False
320,11438.0,wro4j-wro4j,ro.isdc.wro.extensions.manager.factory.testbasewromanagerfactory.shouldnotfailwhendestroyinguninitializedfactory,0.0,False
339,11470.0,wro4j-wro4j,ro.isdc.wro.maven.plugin.testcsslintmojo.testmojowithpropertiesset,0.0,False
340,11471.0,wro4j-wro4j,ro.isdc.wro.maven.plugin.testcsslintmojo.cannotexecutewheninvalidresourcespresentanddonotignoremissingresources,0.0,False
341,11472.0,wro4j-wro4j,ro.isdc.wro.maven.plugin.testcsslintmojo.testwroxmlwithinvalidresourcesandignoremissingresourcestrue,0.0,False
348,11479.0,wro4j-wro4j,ro.isdc.wro.maven.plugin.testcsslintmojo.shouldacceptvalidreportformat,0.0,False
349,11480.0,wro4j-wro4j,ro.isdc.wro.maven.plugin.testcsslintmojo.shouldnotacceptinvalidreportformat,0.0,False
351,11483.0,wro4j-wro4j,ro.isdc.wro.maven.plugin.testcsslintmojo.shouldgeneratexmlreportfilewithcheckstyleformat,0.0,False
359,11494.0,wro4j-wro4j,ro.isdc.wro.maven.plugin.testjshintmojo.shouldgeneratexmlreportfile,0.0,False
362,11497.0,wro4j-wro4j,ro.isdc.wro.maven.plugin.testjshintmojo.cannotgeneratereportwithinvalidformat,0.0,False
363,11498.0,wro4j-wro4j,ro.isdc.wro.maven.plugin.testjshintmojo.shouldnotfailwhenthresholdisgreaterthannumberoferrors,0.0,False
387,11545.0,wro4j-wro4j,ro.isdc.wro.maven.plugin.testwro4jmojo.testmojowithconfigurablewromanagerfactorywithinvalidpreprocessor,0.0,False
392,11552.0,wro4j-wro4j,ro.isdc.wro.maven.plugin.testwro4jmojo.shoulddetectincrementalchangeofimportedcss,0.0,False
415,11597.0,wro4j-wro4j,ro.isdc.wro.maven.plugin.factory.testconfigurablewromanagerfactory.testwithemptypostprocessors,0.0,False
446,11659.0,wro4j-wro4j,ro.isdc.wro.http.support.testservletcontextattributehelper.shouldloadwroconfigurationfromservletcontextattribute,0.0,False
453,11666.0,wro4j-wro4j,ro.isdc.wro.http.support.testcontenttyperesolver.shouldresolvejsextenstion,0.0,False
466,11687.0,wro4j-wro4j,ro.isdc.wro.http.support.testresponseheadersconfigurer.shouldhavenocacheheadersindebugmode,0.0,False
485,11712.0,wro4j-wro4j,ro.isdc.wro.http.handler.testresourceproxyrequesthandler.shouldsetcorrectresopnscodebasedonresourcechangestate,0.0,False
493,11724.0,wro4j-wro4j,ro.isdc.wro.http.handler.factory.testconfigurablerequesthandlerfactory.testinvalidrequesthandlerset,0.0,False
507,11745.0,wro4j-wro4j,ro.isdc.wro.util.testwroutil.computepathfromnestedlocation,0.0,False
518,11758.0,wro4j-wro4j,ro.isdc.wro.util.teststringutils.shouldcleanpathcontainingmultipledoubledots,0.0,False
523,11767.0,wro4j-wro4j,ro.isdc.wro.util.testschedulerhelper.cannotacceptnullargument,0.0,False
532,11790.0,wro4j-wro4j,ro.isdc.wro.util.concurrent.testtaskexecutor.cannotsubmitnullcallables,0.0,False
535,11801.0,wro4j-wro4j,ro.isdc.wro.config.metadata.testdefaultmetadatafactory.cannotcreatefactorywithnullmap,0.0,False
541,11809.0,wro4j-wro4j,ro.isdc.wro.config.support.testcontextpropagatingcallable.shouldinheritcontextincreatedthread,0.0,False
556,11833.0,wro4j-wro4j,ro.isdc.wro.config.factory.testpropertiesandfilterconfigwroconfigurationfactory.testconfiguredebug,0.0,False
559,11838.0,wro4j-wro4j,ro.isdc.wro.config.factory.testpropertiesandfilterconfigwroconfigurationfactory.testconfigurationtypebackwardcompatibility,0.0,False
577,11866.0,wro4j-wro4j,ro.isdc.wro.cache.testcachekey.testequals2,0.0,False
583,11879.0,wro4j-wro4j,ro.isdc.wro.cache.support.testdefaultsynchronizedcachestrategydecorator.cannotacceptnullkey,0.0,False
589,11887.0,wro4j-wro4j,ro.isdc.wro.cache.factory.testcachekeyfactorydecorator.cannotdecoratenullobject,0.0,False
593,11892.0,wro4j-wro4j,ro.isdc.wro.cache.factory.testdefaultcachekeyfactory.cannotbuildcachekeyfromnullrequest,0.0,False
606,11916.0,wro4j-wro4j,ro.isdc.wro.manager.callback.testlifecyclecallbackdecorator.shouldcatchcallbacksexceptionsandcontinueexecution,0.0,False
612,11927.0,wro4j-wro4j,ro.isdc.wro.manager.testwromanager.testduplicatedresourcesshouldbeskipped,0.0,False
614,11929.0,wro4j-wro4j,ro.isdc.wro.manager.testwromanager.testminimizeattributeisfalseonresource,0.0,False
