id,projectName,test_name,isFlaky,tokenList,java_keywords,javaKeysCounter,abstract_keyword,assert_keyword,boolean_keyword,break_keyword,byte_keyword,case_keyword,catch_keyword,char_keyword,class_keyword,continue_keyword,default_keyword,do_keyword,double_keyword,else_keyword,enum_keyword,exports_keyword,extends_keyword,final_keyword,finally_keyword,float_keyword,for_keyword,if_keyword,implements_keyword,import_keyword,instanceof_keyword,int_keyword,interface_keyword,long_keyword,modules_keyword,native_keyword,new_keyword,package_keyword,private_keyword,protected_keyword,public_keyword,requires_keyword,return_keyword,short_keyword,static_keyword,strictfp_keyword,super_keyword,switch_keyword,synchronized_keyword,this_keyword,throw_keyword,throws_keyword,transient_keyword,try_keyword,void_keyword,volatile_keyword,while_keyword,true_keyword,null_keyword,false_keyword,const_keyword,goto_keyword,assertion-roulette,conditional-test-logic,eager-test,fire-and-forget,indirect-testing,mystery-guest,resource-optimism,test-run-war,testLength,numAsserts,numCoveredLines,ExecutionTime,projectSourceLinesCovered,projectSourceClassesCovered,hIndexModificationsPerCoveredLine_window5,hIndexModificationsPerCoveredLine_window10,hIndexModificationsPerCoveredLine_window25,hIndexModificationsPerCoveredLine_window50,hIndexModificationsPerCoveredLine_window75,hIndexModificationsPerCoveredLine_window100,hIndexModificationsPerCoveredLine_window500,hIndexModificationsPerCoveredLine_window10000,num_third_party_libs
8980,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.malformedstringurl,0,"['get', 'expected=', 'expected=httprequestexception.class', 'exception.class', 'http', 'test', 'malformedstringurl', 'request', 'url', 'malformed', 'string']","['public', 'void']",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.0,6,4,0,0,0,1,1,1,2,2,0
8981,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.malformedstringurlcause,0,"['null', 'fail', 'httprequestexception', 'get', 'exception', 'assertnotnull', 'cause', 'http', 'thrown', 'test', 'delete', 'getcause', 'malformedstringurlcause', 'request', 'url', 'not', 'assert', 'malformed', 'string']","['try', 'catch', 'public', 'void']",4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,2,0,0.0,8,4,0,0,0,1,1,1,2,2,0
8982,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.negativebuffersize,0,"['get', 'expected=', 'size', 'exception.class', 'expected=illegalargumentexception.class', 'http', 'test', 'buffersize', 'illegal', 'negativebuffersize', 'argument', 'localhost', 'buffer', 'negative']","['public', 'void']",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0.001,4,3,0,0,0,0,0,0,1,1,0
8983,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.getempty,0,"['assertfalse', 'modified', 'connection', 'to', 'length', 'handler', 'equals', 'is', 'empty', 'buffersize', 'asserttrue', 'servererror', 'connect', 'ignorecloseexceptions', 'atomic', 'url', 'buffer', 'false', 'servlet', 'get', 'null', 'getconnection', 'ignore', 'use', 'assert', 'error', 'getconnecttimeout', 'notfound', 'message', 'request', 'setstatus', 'badrequest', 'notmodified', 'body', 'string', 'httprequest', 'method', 'created', 'ok', 'bad', 'found', 'isbodyempty', 'exception', 'caches', 'getreadtimeout', 'override', 'set', 'handle', 'getusecaches', 'tostring', 'getmethod', 'readtimeout', 'read', 'exceptions', 'timeout', 'atomicreference', 'httpservletresponse', 'server', 'reference', 'size', 'requesthandler', 'getempty', 'assertnotnull', 'http', 'test', 'connecttimeout', 'code', 'usecaches', 'assertequals', 'not', 'disconnect', 'close', 'status', 'true', 'response']","['final', 'new', 'new', 'public', 'void', 'false', 'false', 'int', 'public', 'void', 'throws']",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,1,0,1,1,0,0,0,1,42,22,28,0.019,49,10,0,0,0,1,0,0,4,4,2
8985,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.geturlempty,0,"['assertfalse', 'connection', 'handler', 'equals', 'empty', 'asserttrue', 'servererror', 'nocontent', 'atomic', 'url', 'false', 'servlet', 'get', 'null', 'getconnection', 'assert', 'error', 'notfound', 'message', 'request', 'setstatus', 'badrequest', 'body', 'string', 'httprequest', 'method', 'created', 'ok', 'bad', 'found', 'exception', 'override', 'set', 'content', 'handle', 'getmethod', 'atomicreference', 'httpservletresponse', 'server', 'reference', 'requesthandler', 'assertnotnull', 'http', 'test', 'code', 'geturlempty', 'assertequals', 'not', 'status', 'true', 'response']","['final', 'new', 'new', 'public', 'void', 'new', 'int', 'public', 'void', 'throws']",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,29,11,17,0.006,37,10,0,0,1,1,1,1,4,4,2
8987,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.getnocontent,0,"['assertfalse', 'connection', 'getnocontent', 'handler', 'equals', 'asserttrue', 'servererror', 'nocontent', 'atomic', 'url', 'false', 'servlet', 'get', 'null', 'getconnection', 'assert', 'error', 'notfound', 'message', 'request', 'setstatus', 'badrequest', 'body', 'string', 'httprequest', 'method', 'created', 'ok', 'bad', 'found', 'exception', 'override', 'set', 'content', 'handle', 'getmethod', 'atomicreference', 'httpservletresponse', 'server', 'reference', 'requesthandler', 'assertnotnull', 'http', 'test', 'code', 'assertequals', 'not', 'status', 'true', 'response']","['final', 'new', 'new', 'public', 'void', 'new', 'int', 'public', 'void', 'throws']",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,29,11,17,0.005,37,10,0,0,1,1,1,1,3,3,2
8989,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.geturlencodedwithspace,1,"['handler', 'equals', 'geturlencodedwithspace', 'asserttrue', 'path', 'atomic', 'url', 'encoded', 'with', 'servlet', 'get', 'assert', 'unencoded', 'resource', 'request', 'info', 'setstatus', 'string', 'space', 'httprequest', 'ok', 'exception', 'override', 'set', 'handle', 'atomicreference', 'httpservletresponse', 'reference', 'requesthandler', 'http', 'test', 'encode', 'getpathinfo', 'assertequals', 'status', 'true', 'response']","['final', 'new', 'new', 'public', 'void', 'public', 'void', 'throws']",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,20,2,9,0.002,19,7,0,0,0,1,0,0,2,2,2
8991,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.geturlencodedwithunicode,1,"['handler', 'equals', 'asserttrue', 'atomic', 'path', 'url', 'encoded', 'with', 'servlet', 'get', 'assert', 'unencoded', 'request', 'info', 'setstatus', 'string', 'httprequest', 'ok', 'u00df', 'exception', 'override', 'set', 'handle', 'geturlencodedwithunicode', 'atomicreference', 'httpservletresponse', 'unicode', 'reference', 'u00', 'requesthandler', 'http', 'test', 'encode', 'getpathinfo', 'assertequals', 'status', 'true', 'response']","['final', 'new', 'new', 'public', 'void', 'public', 'void', 'throws']",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,20,2,9,0.013,19,7,0,0,0,1,0,0,3,3,2
8993,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.geturlencodedwithpercent,1,"['handler', 'equals', 'asserttrue', 'path', 'atomic', 'url', 'encoded', 'with', 'servlet', 'get', 'percent', 'assert', 'unencoded', 'request', 'info', 'setstatus', 'string', 'httprequest', 'ok', 'exception', 'override', 'set', 'handle', 'atomicreference', 'httpservletresponse', 'reference', 'requesthandler', 'http', 'test', 'geturlencodedwithpercent', 'encode', 'getpathinfo', 'assertequals', 'status', 'true', 'response']","['final', 'new', 'new', 'public', 'void', 'public', 'void', 'throws']",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,20,2,9,0.004,19,7,0,0,0,1,0,0,3,3,2
8995,kevinsawicki-http-request,com.github.kevinsawicki.http.httprequesttest.deleteempty,0,"['assertfalse', 'connection', 'handler', 'equals', 'empty', 'asserttrue', 'atomic', 'url', 'false', 'servlet', 'get', 'null', 'getconnection', 'assert', 'notfound', 'request', 'setstatus', 'body', 'deleteempty', 'string', 'httprequest', 'method', 'ok', 'found', 'exception', 'override', 'set', 'handle', 'getmethod', 'atomicreference', 'httpservletresponse', 'reference', 'requesthandler', 'assertnotnull', 'http', 'test', 'delete', 'assertequals', 'not', 'status', 'true', 'response']","['final', 'new', 'new', 'public', 'void', 'public', 'void', 'throws']",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,23,6,11,0.01,31,10,0,0,0,1,0,0,2,2,2
