,id,projectName,testCase,isFlaky,prediction
0,10307.0,apache-ambari,org.apache.ambari.server.agent.testheartbeathandler.testheartbeat,0.0,False
1,10308.0,apache-ambari,org.apache.ambari.server.agent.testheartbeathandler.teststatusheartbeat,0.0,False
8,10317.0,apache-ambari,org.apache.ambari.server.agent.testheartbeathandler.teststatecommandsatregistration,0.0,False
19,10338.0,apache-ambari,org.apache.ambari.server.security.authorization.ambarilocaluserdetailsservicetest.testloaduserbyusername,0.0,False
25,10349.0,apache-ambari,org.apache.ambari.server.security.authorization.ldapserverpropertiestest.testgetldapurls,0.0,False
30,10354.0,apache-ambari,org.apache.ambari.server.api.handlers.deletehandlertest.testhandlerequest__asynchronous,0.0,False
38,10362.0,apache-ambari,org.apache.ambari.server.api.handlers.updatehandlertest.testhandlerequest__synchronous,0.0,False
47,10371.0,apache-ambari,org.apache.ambari.server.api.query.queryimpltest.testaddproperty__localcategory,0.0,False
81,10411.0,apache-ambari,org.apache.ambari.server.api.services.componentservicetest.testupdatecomponents,0.0,False
91,10421.0,apache-ambari,org.apache.ambari.server.api.services.serviceservicetest.testdeleteservice,0.0,False
113,10443.0,apache-ambari,org.apache.ambari.server.controller.utilities.predicatebuildertest.testlongand,0.0,False
114,10444.0,apache-ambari,org.apache.ambari.server.controller.utilities.predicatebuildertest.testsimpleor,0.0,False
129,10459.0,apache-ambari,org.apache.ambari.server.controller.utilities.predicatebuildertest.testgreaterlong,0.0,False
133,10463.0,apache-ambari,org.apache.ambari.server.controller.utilities.predicatebuildertest.testgreaterthanequaltolong,0.0,False
137,10467.0,apache-ambari,org.apache.ambari.server.controller.utilities.predicatebuildertest.testlesslong,0.0,False
155,10491.0,apache-ambari,org.apache.ambari.server.controller.ambarimanagementcontrollertest.testcreateservicecomponentwithconfigs,1.0,True
165,10501.0,apache-ambari,org.apache.ambari.server.controller.ambarimanagementcontrollertest.testgetclusterswithfilters,1.0,True
171,10507.0,apache-ambari,org.apache.ambari.server.controller.ambarimanagementcontrollertest.testgetservicecomponenthostswithfilters,1.0,True
174,10510.0,apache-ambari,org.apache.ambari.server.controller.ambarimanagementcontrollertest.testserviceupdateinvalidrequest,1.0,True
185,10522.0,apache-ambari,org.apache.ambari.server.controller.ambarimanagementcontrollertest.testgetusers,1.0,False
202,10547.0,apache-ambari,org.apache.ambari.server.controller.internal.clustercontrollerimpltest.testcreateresources,0.0,False
214,10561.0,apache-ambari,org.apache.ambari.server.controller.internal.resourceproviderimpltest.testupdateserviceresources,0.0,False
225,10573.0,apache-ambari,org.apache.ambari.server.controller.predicate.equalspredicatetest.testapply,0.0,False
233,10581.0,apache-ambari,org.apache.ambari.server.controller.predicate.andpredicatetest.testgetproperties,0.0,False
234,10582.0,apache-ambari,org.apache.ambari.server.controller.jmx.jmxpropertyprovidertest.testgetresources,0.0,False
238,10587.0,apache-ambari,org.apache.ambari.server.actionmanager.testactionscheduler.testsuccesscriteria,0.0,False
259,10622.0,apache-ambari,org.apache.ambari.server.state.servicecomponenttest.testgetandsetconfigs,0.0,False
270,10648.0,apache-ambari,org.apache.ambari.server.state.svccomphost.servicecomponenthosttest.testdaemonstateflow,0.0,False
285,10668.0,apache-ambari,org.apache.ambari.server.state.cluster.clusterstest.testgetinvalidcluster,0.0,False
289,10672.0,apache-ambari,org.apache.ambari.server.state.cluster.clusterstest.testdebugdump,0.0,False
10,10323.0,apache-ambari,org.apache.ambari.server.agent.agentresourcetest.agentregistration,0.0,False
12,10325.0,apache-ambari,org.apache.ambari.server.agent.testactionqueue.testconcurrentoperations,1.0,False
24,10345.0,apache-ambari,org.apache.ambari.server.security.authorization.ambarildapauthenticationprovidertest.testdisabled,0.0,False
27,10351.0,apache-ambari,org.apache.ambari.server.security.authorization.ldapserverpropertiestest.testequals,0.0,False
36,10360.0,apache-ambari,org.apache.ambari.server.api.handlers.createhandlertest.testhandlerequest__asynchronous,0.0,False
51,10376.0,apache-ambari,org.apache.ambari.server.api.services.hostservicetest.testgethost,0.0,False
77,10407.0,apache-ambari,org.apache.ambari.server.api.services.componentservicetest.testgetcomponent,0.0,False
90,10420.0,apache-ambari,org.apache.ambari.server.api.services.serviceservicetest.testupdateservice,0.0,False
92,10422.0,apache-ambari,org.apache.ambari.server.api.services.clusterservicetest.testgetcluster,0.0,False
93,10423.0,apache-ambari,org.apache.ambari.server.api.services.clusterservicetest.testgetclusters,0.0,False
94,10424.0,apache-ambari,org.apache.ambari.server.api.services.clusterservicetest.testcreatecluster,0.0,False
103,10433.0,apache-ambari,org.apache.ambari.server.api.services.serializers.jsonserializertest.testserialize,0.0,False
