,id,projectName,testCase,isFlaky,prediction
1,12666.0,apache-hbase,org.apache.hadoop.hbase.testkeyvalue.testbasics,0.0,False
8,12676.0,apache-hbase,org.apache.hadoop.hbase.testhmsg.testserialization,0.0,False
18,12715.0,apache-hbase,org.apache.hadoop.hbase.io.hfile.testlrublockcache.testscanresistance,0.0,False
20,12722.0,apache-hbase,org.apache.hadoop.hbase.io.hfile.testcachedblockqueue.testqueue,0.0,False
22,12724.0,apache-hbase,org.apache.hadoop.hbase.master.testservermanager.testisdead,0.0,True
28,12739.0,apache-hbase,org.apache.hadoop.hbase.util.testbytes.testsplit2,0.0,False
36,12750.0,apache-hbase,org.apache.hadoop.hbase.client.testhtablepool.testtablewithstringname,0.0,False
45,12763.0,apache-hbase,org.apache.hadoop.hbase.regionserver.testmemstore.testputsamekey,0.0,False
79,12811.0,apache-hbase,org.apache.hadoop.hbase.regionserver.teststorescanner.testdeleteversionsametimestamp,0.0,False
90,12822.0,apache-hbase,org.apache.hadoop.hbase.filter.testpagefilter.testserialization,0.0,False
95,12833.0,apache-hbase,org.apache.hadoop.hbase.filter.testfilterlist.testmpall,0.0,False
114,12890.0,apache-hbase,org.apache.hadoop.hbase.stargate.model.teststorageclusterstatusmodel.testbuildmodel,0.0,False
115,12891.0,apache-hbase,org.apache.hadoop.hbase.stargate.model.teststorageclusterstatusmodel.testfromxml,0.0,False
132,12948.0,apache-hbase,org.apache.hadoop.hbase.stargate.model.testtableinfomodel.testfrompb,0.0,False
136,12966.0,apache-hbase,org.apache.hadoop.hbase.stargate.model.testtablelistmodel.testbuildmodel,0.0,False
159,13023.0,apache-hbase,org.apache.hadoop.hbase.stargate.testtableresource.testtablelistjson,1.0,True
172,13043.0,apache-hbase,org.apache.hadoop.hbase.stargate.util.testhtabletokenbucket.testtokenbucket,1.0,True
180,13056.0,apache-hbase,org.apache.hadoop.hbase.stargate.testversionresource.testgetstargateversionpb,1.0,True
182,13058.0,apache-hbase,org.apache.hadoop.hbase.stargate.testversionresource.testgetstorageclusterversionxml,1.0,True
215,13127.0,apache-hbase,org.apache.hadoop.hbase.regionserver.testhregion.testdeletecolumns_postinsert,0.0,False
228,13143.0,apache-hbase,org.apache.hadoop.hbase.regionserver.testhregion.testscanner_explicitcolumns_fromfilesonly_enforceversions,0.0,False
240,13157.0,apache-hbase,org.apache.hadoop.hbase.regionserver.testhregion.testbasicsplit,0.0,True
247,13174.0,apache-hbase,org.apache.hadoop.hbase.regionserver.wal.testhlog.testsplit,1.0,True
273,13219.0,apache-hbase,org.apache.hadoop.hbase.regionserver.testgetdeletetracker.testisdeleted_deletecolumn,0.0,False
274,13220.0,apache-hbase,org.apache.hadoop.hbase.regionserver.testgetdeletetracker.testisdeleted_deletefamily,0.0,False
277,13226.0,apache-hbase,org.apache.hadoop.hbase.master.testmastertransitions.testaddingserverbeforeoldisdead2413,1.0,True
281,13252.0,apache-hbase,org.apache.hadoop.hbase.mapreduce.testtableinputformatscan.testscanemptytoapp,1.0,True
285,13256.0,apache-hbase,org.apache.hadoop.hbase.mapreduce.testtableinputformatscan.testscanobbtoopp,1.0,True
