,id,projectName,testCase,isFlaky,prediction
1,13380.0,tootallnate-java-websocket,org.java_websocket.drafts.draft_6455test.testgetextension,0.0,False
8,13387.0,tootallnate-java-websocket,org.java_websocket.drafts.draft_6455test.testtostring,0.0,False
26,13405.0,tootallnate-java-websocket,org.java_websocket.extensions.defaultextensiontest.testencodeframe,0.0,False
35,13414.0,tootallnate-java-websocket,org.java_websocket.extensions.defaultextensiontest.testequals,0.0,False
44,13423.0,tootallnate-java-websocket,org.java_websocket.framing.framedataimpl1test.testget,0.0,False
47,13426.0,tootallnate-java-websocket,org.java_websocket.framing.continuousframetest.testconstructor,0.0,False
49,13428.0,tootallnate-java-websocket,org.java_websocket.framing.continuousframetest.testisvalid,0.0,False
67,13458.0,tootallnate-java-websocket,org.java_websocket.issues.issue256test.runreconnectblockingscenario1,1.0,True
82,13473.0,tootallnate-java-websocket,org.java_websocket.issues.issue256test.runreconnectscenario6,1.0,True
95,13496.0,tootallnate-java-websocket,org.java_websocket.issues.issue580test.runnocloseblockingtestscenario9,0.0,False
98,13499.0,tootallnate-java-websocket,org.java_websocket.issues.issue580test.runcloseblockingtestscenario2,0.0,False
4,13383.0,tootallnate-java-websocket,org.java_websocket.drafts.draft_6455test.testgetknownprotocols,0.0,False
6,13385.0,tootallnate-java-websocket,org.java_websocket.drafts.draft_6455test.testreset,0.0,False
20,13399.0,tootallnate-java-websocket,org.java_websocket.util.bytebufferutilstest.testtransferbytebuffersmalltobig,0.0,False
24,13403.0,tootallnate-java-websocket,org.java_websocket.util.bytebufferutilstest.testtransferbytebufferchecknullboth,0.0,False
32,13411.0,tootallnate-java-websocket,org.java_websocket.extensions.defaultextensiontest.testcopyinstance,0.0,False
42,13421.0,tootallnate-java-websocket,org.java_websocket.framing.binaryframetest.testisvalid,0.0,False
45,13424.0,tootallnate-java-websocket,org.java_websocket.framing.framedataimpl1test.testsetters,0.0,False
58,13437.0,tootallnate-java-websocket,org.java_websocket.framing.textframetest.testisvalid,0.0,False
66,13457.0,tootallnate-java-websocket,org.java_websocket.issues.issue256test.runreconnectblockingscenario0,1.0,True
74,13465.0,tootallnate-java-websocket,org.java_websocket.issues.issue256test.runreconnectblockingscenario8,1.0,True
105,13506.0,tootallnate-java-websocket,org.java_websocket.issues.issue580test.runcloseblockingtestscenario9,0.0,False
3,13382.0,tootallnate-java-websocket,org.java_websocket.drafts.draft_6455test.testgetprotocol,0.0,False
7,13386.0,tootallnate-java-websocket,org.java_websocket.drafts.draft_6455test.testgetclosehandshaketype,0.0,False
38,13417.0,tootallnate-java-websocket,org.java_websocket.framing.pongframetest.testextends,0.0,False
40,13419.0,tootallnate-java-websocket,org.java_websocket.framing.binaryframetest.testconstructor,0.0,False
43,13422.0,tootallnate-java-websocket,org.java_websocket.framing.framedataimpl1test.testdefaultvalues,0.0,False
63,13442.0,tootallnate-java-websocket,org.java_websocket.protocols.protocoltest.testtostring,0.0,False
68,13459.0,tootallnate-java-websocket,org.java_websocket.issues.issue256test.runreconnectblockingscenario2,1.0,True
69,13460.0,tootallnate-java-websocket,org.java_websocket.issues.issue256test.runreconnectblockingscenario3,1.0,True
97,13498.0,tootallnate-java-websocket,org.java_websocket.issues.issue580test.runcloseblockingtestscenario1,0.0,False
99,13500.0,tootallnate-java-websocket,org.java_websocket.issues.issue580test.runcloseblockingtestscenario3,0.0,False
102,13503.0,tootallnate-java-websocket,org.java_websocket.issues.issue580test.runcloseblockingtestscenario6,0.0,False
16,13395.0,tootallnate-java-websocket,org.java_websocket.drafts.draft_6455test.createframestext,0.0,False
21,13400.0,tootallnate-java-websocket,org.java_websocket.util.bytebufferutilstest.testtransferbytebufferbigtosmall,0.0,False
23,13402.0,tootallnate-java-websocket,org.java_websocket.util.bytebufferutilstest.testtransferbytebufferchecknullsource,0.0,False
28,13407.0,tootallnate-java-websocket,org.java_websocket.extensions.defaultextensiontest.testacceptprovidedextensionasclient,0.0,False
29,13408.0,tootallnate-java-websocket,org.java_websocket.extensions.defaultextensiontest.testisframevalid,0.0,False
