idProject,nameProject,testCase,tloc,tmcCabe,assertionDensity,assertionRoulette,mysteryGuest,eagerTest,sensitiveEquality,resourceOptimism,conditionalTestLogic,fireAndForget,loc,lcom2,lcom5,cbo,wmc,rfc,mpc,halsteadVocabulary,halsteadLength,halsteadVolume,classDataShouldBePrivate,complexClass,functionalDecomposition,spaghettiCode,isFlaky
7,incubator-dubbo,org.apache.dubbo.serialization.SerializationTest.testContentType,3.0,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,42.0,6.0,0.0,4.0,10.0,6.0,2.0,73.0,32.0,137.2947021167485,0,0,0,0.0,FALSE
7,incubator-dubbo,org.apache.dubbo.serialization.SerializationTest.testContentTypeId,3.0,1.0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,42.0,6.0,0.0,4.0,10.0,6.0,2.0,73.0,32.0,137.2947021167485,0,0,0,0.0,FALSE
7,incubator-dubbo,org.apache.dubbo.serialization.SerializationTest.testObjectOutput,4.0,2.0,0.0,1.0,0.0,2,0.0,0,0.0,0.0,42.0,6.0,0.0,4.0,10.0,6.0,2.0,73.0,32.0,137.2947021167485,0,0,0,0.0,FALSE
7,incubator-dubbo,org.apache.dubbo.serialization.SerializationTest.testObjectInput,4.0,2.0,0.0,1.0,0.0,2,0.0,0,0.0,0.0,42.0,6.0,0.0,4.0,10.0,6.0,2.0,73.0,32.0,137.2947021167485,0,0,0,0.0,FALSE
7,incubator-dubbo,org.apache.dubbo.serialization.SerializationTest.testWriteUTF,9.0,2.0,0.2222222222222222,0.0,0.0,0,0.0,0,0.0,0.0,42.0,6.0,0.0,4.0,10.0,6.0,2.0,73.0,32.0,137.2947021167485,0,0,0,0.0,FALSE
7,incubator-dubbo,org.apache.dubbo.serialization.SerializationTest.flushToInput,5.0,2.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,42.0,6.0,0.0,4.0,10.0,6.0,2.0,73.0,32.0,137.2947021167485,0,0,0,0.0,FALSE
7,incubator-dubbo,org.apache.dubbo.config.MethodConfigTest.testName,8.0,2.0,0.125,0.0,0.0,0,0.0,0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,13.621371043387192,0,0,0,0.0,FALSE
7,incubator-dubbo,org.apache.dubbo.config.MethodConfigTest.testStat,5.0,2.0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,13.621371043387192,0,0,0,0.0,FALSE
7,incubator-dubbo,org.apache.dubbo.config.MethodConfigTest.testRetry,5.0,2.0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,13.621371043387192,0,0,0,0.0,FALSE
7,incubator-dubbo,org.apache.dubbo.config.MethodConfigTest.testReliable,5.0,2.0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,13.621371043387192,0,0,0,0.0,FALSE
7,incubator-dubbo,org.apache.dubbo.config.MethodConfigTest.testExecutes,5.0,2.0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,13.621371043387192,0,0,0,0.0,FALSE
7,incubator-dubbo,org.apache.dubbo.config.MethodConfigTest.testDeprecated,5.0,2.0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,13.621371043387192,0,0,0,0.0,FALSE
7,incubator-dubbo,org.apache.dubbo.config.MethodConfigTest.testArguments,7.0,2.0,0.14285714285714285,2.0,0.0,0,0.0,0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,13.621371043387192,0,0,0,0.0,FALSE
7,incubator-dubbo,org.apache.dubbo.config.MethodConfigTest.testSticky,5.0,2.0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,13.621371043387192,0,0,0,0.0,FALSE
7,incubator-dubbo,org.apache.dubbo.config.MethodConfigTest.testConvertMethodConfig2AsyncInfo,7.0,2.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,13.621371043387192,0,0,0,0.0,FALSE
7,incubator-dubbo,org.apache.dubbo.config.MethodConfigTest.testOnreturn,11.0,3.0,0.18181818181818182,1.0,0.0,0,0.0,0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,13.621371043387192,0,0,0,0.0,FALSE
7,incubator-dubbo,org.apache.dubbo.config.MethodConfigTest.testOnreturnMethod,11.0,3.0,0.18181818181818182,1.0,0.0,0,0.0,0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,13.621371043387192,0,0,0,0.0,FALSE
7,incubator-dubbo,org.apache.dubbo.config.MethodConfigTest.testOnthrow,11.0,2.0,0.18181818181818182,1.0,0.0,0,0.0,0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,13.621371043387192,0,0,0,0.0,FALSE
7,incubator-dubbo,org.apache.dubbo.config.MethodConfigTest.testOnthrowMethod,11.0,2.0,0.18181818181818182,1.0,0.0,0,0.0,0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,13.621371043387192,0,0,0,0.0,FALSE
7,incubator-dubbo,org.apache.dubbo.config.MethodConfigTest.testOninvoke,11.0,2.0,0.18181818181818182,1.0,0.0,0,0.0,0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,13.621371043387192,0,0,0,0.0,FALSE
7,incubator-dubbo,org.apache.dubbo.config.MethodConfigTest.testOninvokeMethod,11.0,2.0,0.18181818181818182,1.0,0.0,0,0.0,0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,13.621371043387192,0,0,0,0.0,FALSE
7,incubator-dubbo,org.apache.dubbo.config.MethodConfigTest.testReturn,5.0,2.0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,13.621371043387192,0,0,0,0.0,FALSE
7,incubator-dubbo,org.apache.dubbo.config.ModuleConfigTest.testName2,9.0,2.0,0.2222222222222222,0.0,0.0,0,0.0,0,0.0,0.0,29.0,1.0,0.0,0.0,2.0,2.0,0.0,24.0,15.0,47.67080745521918,0,0,2,0.0,FALSE
