id,nameProject,testCase,tloc,tmcCabe,assertionDensity,assertionRoulette,mysteryGuest,eagerTest,sensitiveEquality,resourceOptimism,conditionalTestLogic,fireAndForget,loc,lcom2,lcom5,cbo,wmc,rfc,mpc,halsteadVocabulary,halsteadLength,halsteadVolume,classDataShouldBePrivate,complexClass,functionalDecomposition,godClass,spaghettiCode,isFlaky
34611,fastjson,com.alibaba.fastjson.jsonpathtest.eq1,0.01481481,0.2222222,0.05555556,0.001855288,0.0,0.0,0.0,0.0,0.01357466,0.0,0.05701605,0.003557303,0.05172414,0.06418919,0.138756,0.09855453,0.09679173,0.1150552,0.2766033,0.2637105,0.0,0.0,0.0,0.001118101,0.1094439,False
34612,fastjson,com.alibaba.fastjson.jsonpathtest.eq2,0.01481481,0.2222222,0.05555556,0.001855288,0.0,0.0,0.0,0.0,0.01357466,0.0,0.05701605,0.003557303,0.05172414,0.06418919,0.138756,0.09855453,0.09679173,0.1150552,0.2766033,0.2637105,0.0,0.0,0.0,0.001118101,0.1094439,False
34613,fastjson,com.alibaba.fastjson.jsonpathtest.isdigitfirst1,0.01296296,0.2222222,0.0625,0.001855288,0.0,0.0,0.0,0.0,0.009049774,0.0,0.05701605,0.003557303,0.05172414,0.06418919,0.138756,0.09855453,0.09679173,0.1150552,0.2766033,0.2637105,0.0,0.0,0.0,0.001118101,0.1094439,False
34614,fastjson,com.alibaba.fastjson.jsonpathtest.isdigitfirst2,0.01296296,0.2222222,0.0625,0.001855288,0.0,0.0,0.0,0.0,0.009049774,0.0,0.05701605,0.003557303,0.05172414,0.06418919,0.138756,0.09855453,0.09679173,0.1150552,0.2766033,0.2637105,0.0,0.0,0.0,0.001118101,0.1094439,False
34615,fastjson,com.alibaba.fastjson.jsonpathtest.isdigitfirst3,0.01296296,0.2222222,0.0625,0.001855288,0.0,0.0,0.0,0.0,0.009049774,0.0,0.05701605,0.003557303,0.05172414,0.06418919,0.138756,0.09855453,0.09679173,0.1150552,0.2766033,0.2637105,0.0,0.0,0.0,0.001118101,0.1094439,False
34616,fastjson,com.alibaba.fastjson.jsonpathtest.iseof1,0.02037037,0.2222222,0.04166667,0.001855288,0.0,0.0,0.0,0.0,0.004524887,0.0,0.05701605,0.003557303,0.05172414,0.06418919,0.138756,0.09855453,0.09679173,0.1150552,0.2766033,0.2637105,0.0,0.0,0.0,0.001118101,0.1094439,False
34617,fastjson,com.alibaba.fastjson.jsonpathtest.iseof2,0.02037037,0.2222222,0.04166667,0.001855288,0.0,0.0,0.0,0.0,0.004524887,0.0,0.05701605,0.003557303,0.05172414,0.06418919,0.138756,0.09855453,0.09679173,0.1150552,0.2766033,0.2637105,0.0,0.0,0.0,0.001118101,0.1094439,False
34618,fastjson,com.alibaba.fastjson.parser.jsonscannertest.chararraycompare1,0.01666667,0.2222222,0.05,0.001855288,0.0,0.0,0.0,0.0,0.01809955,0.0,0.04834414,0.003593479,0.2413793,0.02027027,0.1786284,0.09023215,0.08537249,0.1564888,0.1728549,0.1703911,0.0,0.1786284,0.0,0.001118101,0.1039349,False
34619,fastjson,com.alibaba.fastjson.parser.jsonscannertest.chararraycompare3,0.01666667,0.3333333,0.05,0.001855288,0.0,0.0,0.0,0.0,0.01809955,0.0,0.04834414,0.003593479,0.2413793,0.02027027,0.1786284,0.09023215,0.08537249,0.1564888,0.1728549,0.1703911,0.0,0.1786284,0.0,0.001118101,0.1039349,False
34620,fastjson,com.alibaba.fastjson.parser.jsonscannertest.chararraycompare4,0.01666667,0.3333333,0.05,0.001855288,0.0,0.0,0.0,0.0,0.01809955,0.0,0.04834414,0.003593479,0.2413793,0.02027027,0.1786284,0.09023215,0.08537249,0.1564888,0.1728549,0.1703911,0.0,0.1786284,0.0,0.001118101,0.1039349,False
