id,nameProject,testCase,tloc,tmcCabe,assertionDensity,assertionRoulette,mysteryGuest,eagerTest,sensitiveEquality,resourceOptimism,conditionalTestLogic,fireAndForget,loc,lcom2,lcom5,cbo,wmc,rfc,mpc,halsteadVocabulary,halsteadLength,halsteadVolume,classDataShouldBePrivate,complexClass,functionalDecomposition,godClass,spaghettiCode,isFlaky
35238,wildfly,org.wildfly.mod_cluster.undertow.undertowconnectortestcase.gettype,0.009259259,0.0,0.1666667,0.0,0.0,0.01315789,0.0,0.0,0.0,0.0,0.002441106,0.0005667567,0.0862069,0.03040541,0.02472089,0.0131406,0.008156607,0.002845887,0.02220643,0.01358753,0.0,0.0,0.0,0.001118101,0.0,False
35239,wildfly,org.wildfly.mod_cluster.undertow.undertowconnectortestcase.getaddress,0.01481481,0.1111111,0.0,0.001855288,0.0,0.01315789,0.0,0.0,0.0,0.0,0.002441106,0.0005667567,0.0862069,0.03040541,0.02472089,0.0131406,0.008156607,0.002845887,0.02220643,0.01358753,0.0,0.0,0.0,0.001118101,0.0,False
35240,wildfly,org.wildfly.mod_cluster.undertow.undertowconnectortestcase.getport,0.01481481,0.1111111,0.0,0.001855288,0.0,0.01315789,0.0,0.0,0.0,0.0,0.002441106,0.0005667567,0.0862069,0.03040541,0.02472089,0.0131406,0.008156607,0.002845887,0.02220643,0.01358753,0.0,0.0,0.0,0.001118101,0.0,False
35241,wildfly,org.wildfly.mod_cluster.undertow.undertowconnectortestcase.setaddress,0.005555556,0.2222222,0.0,0.0,0.0,0.01315789,0.0,0.0,0.004524887,0.0,0.002441106,0.0005667567,0.0862069,0.03040541,0.02472089,0.0131406,0.008156607,0.002845887,0.02220643,0.01358753,0.0,0.0,0.0,0.001118101,0.0,False
35242,wildfly,org.wildfly.mod_cluster.undertow.undertowservertestcase.getengines,0.01481481,0.0,0.1111111,0.005565863,0.0,0.01315789,0.0,0.0,0.0,0.0,0.00126323,0.0,0.00862069,0.02027027,0.01036683,0.004818222,0.003262643,0.001205647,0.011725,0.006347282,0.0,0.0,0.0,0.001118101,0.0,False
35243,wildfly,org.wildfly.mod_cluster.undertow.undertowcontexttestcase.gethost,0.003703704,0.0,0.0,0.001855288,0.0,0.01315789,0.0,0.0,0.0,0.0,0.002133834,0.0002894077,0.06896552,0.03378378,0.0215311,0.01489269,0.01141925,0.002193997,0.01634393,0.009692285,0.0,0.0,0.0,0.001118101,0.0,False
35244,wildfly,org.wildfly.mod_cluster.undertow.undertowcontexttestcase.getpath,0.01296296,0.0,0.0,0.001855288,0.0,0.01315789,0.0,0.0,0.0,0.0,0.002133834,0.0002894077,0.06896552,0.03378378,0.0215311,0.01489269,0.01141925,0.002193997,0.01634393,0.009692285,0.0,0.0,0.0,0.001118101,0.0,False
35245,wildfly,org.wildfly.mod_cluster.undertow.undertowcontexttestcase.isstarted,0.01666667,0.1111111,0.1,0.005565863,0.0,0.01315789,0.0,0.0,0.0,0.0,0.002133834,0.0002894077,0.06896552,0.03378378,0.0215311,0.01489269,0.01141925,0.002193997,0.01634393,0.009692285,0.0,0.0,0.0,0.001118101,0.0,False
35246,wildfly,org.wildfly.mod_cluster.undertow.undertowcontexttestcase.addrequestlistener,0.03333333,0.3333333,0.07894737,0.00742115,0.0,0.01315789,0.0,0.0,0.01809955,0.0,0.002133834,0.0002894077,0.06896552,0.03378378,0.0215311,0.01489269,0.01141925,0.002193997,0.01634393,0.009692285,0.0,0.0,0.0,0.001118101,0.0,False
35247,wildfly,org.wildfly.mod_cluster.undertow.undertowcontexttestcase.addsessionlistener,0.02962963,0.3333333,0.02941176,0.003710575,0.0,0.01315789,0.0,0.0,0.01809955,0.0,0.002133834,0.0002894077,0.06896552,0.03378378,0.0215311,0.01489269,0.01141925,0.002193997,0.01634393,0.009692285,0.0,0.0,0.0,0.001118101,0.0,False
35248,wildfly,org.wildfly.mod_cluster.undertow.undertowenginetestcase.getname,0.003703704,0.0,0.0,0.001855288,0.0,0.01315789,0.0,0.0,0.0,0.0,0.00329464,0.002110264,0.05172414,0.02702703,0.03748006,0.02409111,0.01740076,0.004233783,0.02398295,0.0156018,0.0,0.0,0.0,0.001118101,0.0,False
35249,wildfly,org.wildfly.mod_cluster.undertow.undertowenginetestcase.gethosts,0.01296296,0.0,0.1875,0.00742115,0.0,0.1052632,0.0,0.0,0.0,0.0,0.00329464,0.002110264,0.05172414,0.02702703,0.03748006,0.02409111,0.01740076,0.004233783,0.02398295,0.0156018,0.0,0.0,0.0,0.001118101,0.0,False
35250,wildfly,org.wildfly.mod_cluster.undertow.undertowenginetestcase.getconnectors,0.01296296,0.0,0.125,0.005565863,0.0,0.1052632,0.02325581,0.0,0.0,0.0,0.00329464,0.002110264,0.05172414,0.02702703,0.03748006,0.02409111,0.01740076,0.004233783,0.02398295,0.0156018,0.0,0.0,0.0,0.001118101,0.0,False
35251,wildfly,org.wildfly.mod_cluster.undertow.undertowenginetestcase.getdefaulthost,0.003703704,0.0,0.0,0.001855288,0.0,0.01315789,0.0,0.0,0.0,0.0,0.00329464,0.002110264,0.05172414,0.02702703,0.03748006,0.02409111,0.01740076,0.004233783,0.02398295,0.0156018,0.0,0.0,0.0,0.001118101,0.0,False
