id,nameProject,testCase,tloc,tmcCabe,assertionDensity,assertionRoulette,mysteryGuest,eagerTest,sensitiveEquality,resourceOptimism,conditionalTestLogic,fireAndForget,loc,lcom2,lcom5,cbo,wmc,rfc,mpc,halsteadVocabulary,halsteadLength,halsteadVolume,classDataShouldBePrivate,complexClass,functionalDecomposition,godClass,spaghettiCode,isFlaky
21738,Activiti,org.activiti.runtime.api.model.impl.apitaskcandidategroupconvertertest.fromshouldconvertengineobjecttomodelobject,0.01481481,0.0,0.1111111,0.001855288,0.0,0.01315789,0.0,0.0,0.0,0.0,0.0004267668,0.0,0.00862069,0.006756757,0.0007974482,0.0004380201,0.0,0.0001191628,0.001776514,0.0007025336,0.0,0.0,0.0,0.001118101,0.0,False
21740,Activiti,org.activiti.runtime.api.model.impl.apitaskconvertertest.convertfromtaskshouldsetallfieldsintheconvertedtask,0.001851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000836463,1.205865e-05,0.01724138,0.006756757,0.001594896,0.0008760403,0.0,0.000182249,0.00248712,0.001039838,0.0,0.0,0.0,0.001118101,0.0,False
21741,Activiti,org.activiti.runtime.api.model.impl.apitaskconvertertest.calculatestatusforacancelledtaskshouldreturncancelled,0.001851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000836463,1.205865e-05,0.01724138,0.006756757,0.001594896,0.0008760403,0.0,0.000182249,0.00248712,0.001039838,0.0,0.0,0.0,0.001118101,0.0,False
21742,Activiti,org.activiti.runtime.api.model.impl.apitaskconvertertest.calculatestatusforasuspendedtaskshouldreturnsuspended,0.001851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000836463,1.205865e-05,0.01724138,0.006756757,0.001594896,0.0008760403,0.0,0.000182249,0.00248712,0.001039838,0.0,0.0,0.0,0.001118101,0.0,False
21743,Activiti,org.activiti.runtime.api.model.impl.apitaskconvertertest.calculatestatusforanassignedtaskshouldreturnassigned,0.001851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000836463,1.205865e-05,0.01724138,0.006756757,0.001594896,0.0008760403,0.0,0.000182249,0.00248712,0.001039838,0.0,0.0,0.0,0.001118101,0.0,False
21744,Activiti,org.activiti.runtime.api.model.impl.apitaskconvertertest.calculatestatuscreatedandnotassignedtaskshouldreturncreated,0.001851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000836463,1.205865e-05,0.01724138,0.006756757,0.001594896,0.0008760403,0.0,0.000182249,0.00248712,0.001039838,0.0,0.0,0.0,0.001118101,0.0,False
21745,Activiti,org.activiti.runtime.api.model.impl.apitaskcandidateuserconvertertest.fromshouldconvertengineobjecttomodelobject,0.01481481,0.0,0.1111111,0.001855288,0.0,0.01315789,0.0,0.0,0.0,0.0,0.0004267668,0.0,0.00862069,0.006756757,0.0007974482,0.0004380201,0.0,0.0001191628,0.001776514,0.0007025336,0.0,0.0,0.0,0.001118101,0.0,False
21747,Activiti,org.activiti.runtime.api.impl.taskruntimeimpltest.updateshouldthrowexceptionwhenassigneeisnotset,0.001851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00558211,0.001097337,0.01724138,0.09459459,0.01116427,0.006132282,0.0,0.001289762,0.01154734,0.006338319,0.0,0.0,0.0,0.001118101,0.0,False
21748,Activiti,org.activiti.runtime.api.impl.taskruntimeimpltest.updateshouldbeabletoupdatedescriptiononly,0.02407407,0.1111111,0.0,0.0,0.0,0.02631579,0.0,0.0,0.009049774,0.0,0.00558211,0.001097337,0.01724138,0.09459459,0.01116427,0.006132282,0.0,0.001289762,0.01154734,0.006338319,0.0,0.0,0.0,0.001118101,0.0,False
21750,Activiti,org.activiti.runtime.api.connector.defaultservicetaskbehaviortest.hasconnectorbeanshouldreturntrueifabeanofconnectortypeisfound,0.01296296,0.0,0.0,0.001855288,0.0,0.01315789,0.0,0.0,0.0,0.0,0.0009218163,7.235192e-05,0.00862069,0.02027027,0.003189793,0.001752081,0.0,0.0003574883,0.004085983,0.001881139,0.0,0.0,0.0,0.001118101,0.0,False
21751,Activiti,org.activiti.runtime.api.connector.defaultservicetaskbehaviortest.hasconnectorbeanshouldreturnfalseifnobeanisfoundwiththegivenname,0.01111111,0.0,0.0,0.001855288,0.0,0.01315789,0.0,0.0,0.0,0.0,0.0009218163,7.235192e-05,0.00862069,0.02027027,0.003189793,0.001752081,0.0,0.0003574883,0.004085983,0.001881139,0.0,0.0,0.0,0.001118101,0.0,False
