id,nameProject,testCase,tloc,tmcCabe,assertionDensity,assertionRoulette,mysteryGuest,eagerTest,sensitiveEquality,resourceOptimism,conditionalTestLogic,fireAndForget,loc,lcom2,lcom5,cbo,wmc,rfc,mpc,halsteadVocabulary,halsteadLength,halsteadVolume,classDataShouldBePrivate,complexClass,functionalDecomposition,godClass,spaghettiCode,isFlaky
17906,incubator-dubbo,org.apache.dubbo.config.spring.beans.factory.annotation.referenceannotationbeanpostprocessortest.prepare,0.01111111,0.1111111,0.0,0.0,0.0,0.0,0.0,0.0,0.004524887,0.0,0.008552407,0.001639977,0.02586207,0.125,0.0215311,0.007446343,0.0,0.003869285,0.02593711,0.01659212,0.0,0.0,0.0,0.001118101,0.0,False
17907,incubator-dubbo,org.apache.dubbo.config.spring.beans.factory.annotation.referenceannotationbeanpostprocessortest.init,0.003703704,0.1111111,0.0,0.0,0.0,0.0,0.0,0.0,0.004524887,0.0,0.008552407,0.001639977,0.02586207,0.125,0.0215311,0.007446343,0.0,0.003869285,0.02593711,0.01659212,0.0,0.0,0.0,0.001118101,0.0,False
17908,incubator-dubbo,org.apache.dubbo.config.spring.beans.factory.annotation.referenceannotationbeanpostprocessortest.destroy,0.003703704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008552407,0.001639977,0.02586207,0.125,0.0215311,0.007446343,0.0,0.003869285,0.02593711,0.01659212,0.0,0.0,0.0,0.001118101,0.0,False
17909,incubator-dubbo,org.apache.dubbo.config.spring.beans.factory.annotation.referenceannotationbeanpostprocessortest.test,0.02037037,0.1111111,0.4583333,0.009276438,0.0,0.0,0.0,0.0,0.0,0.0,0.008552407,0.001639977,0.02586207,0.125,0.0215311,0.007446343,0.0,0.003869285,0.02593711,0.01659212,0.0,0.0,0.0,0.001118101,0.0,False
17910,incubator-dubbo,org.apache.dubbo.config.spring.beans.factory.annotation.referenceannotationbeanpostprocessortest.testgetreferencebeans,0.02407407,0.0,0.25,0.00742115,0.0,0.01315789,0.0,0.0,0.0,0.0,0.008552407,0.001639977,0.02586207,0.125,0.0215311,0.007446343,0.0,0.003869285,0.02593711,0.01659212,0.0,0.0,0.0,0.001118101,0.0,False
17911,incubator-dubbo,org.apache.dubbo.config.spring.beans.factory.annotation.referenceannotationbeanpostprocessortest.testgetinjectedfieldreferencebeanmap,0.02222222,0.1111111,0.2692308,0.001855288,0.0,0.01315789,0.0,0.0,0.004524887,0.0,0.008552407,0.001639977,0.02586207,0.125,0.0215311,0.007446343,0.0,0.003869285,0.02593711,0.01659212,0.0,0.0,0.0,0.001118101,0.0,False
17912,incubator-dubbo,org.apache.dubbo.config.spring.beans.factory.annotation.referenceannotationbeanpostprocessortest.testgetinjectedmethodreferencebeanmap,0.02222222,0.1111111,0.2692308,0.001855288,0.0,0.01315789,0.0,0.0,0.004524887,0.0,0.008552407,0.001639977,0.02586207,0.125,0.0215311,0.007446343,0.0,0.003869285,0.02593711,0.01659212,0.0,0.0,0.0,0.001118101,0.0,False
17913,incubator-dubbo,org.apache.dubbo.config.spring.beans.factory.annotation.referenceannotationbeanpostprocessortest.testmoduleinfo,0.01666667,0.1111111,0.05,0.001855288,0.0,0.01315789,0.0,0.0,0.004524887,0.0,0.008552407,0.001639977,0.02586207,0.125,0.0215311,0.007446343,0.0,0.003869285,0.02593711,0.01659212,0.0,0.0,0.0,0.001118101,0.0,False
17914,incubator-dubbo,org.apache.dubbo.config.spring.beans.factory.annotation.dubboconfigbindingbeanpostprocessortest.applicationconfig,0.003703704,0.1111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002663025,0.0007235192,0.00862069,0.0472973,0.01435407,0.005256242,0.0,0.001612202,0.01456742,0.008224705,0.0,0.0,0.0,0.001118101,0.0,False
17915,incubator-dubbo,org.apache.dubbo.config.spring.beans.factory.annotation.dubboconfigbindingbeanpostprocessortest.dubboconfigbinder,0.003703704,0.1111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002663025,0.0007235192,0.00862069,0.0472973,0.01435407,0.005256242,0.0,0.001612202,0.01456742,0.008224705,0.0,0.0,0.0,0.001118101,0.0,False
