,id,id,projectName,test_name,isFlaky,java_keywords,prediction
4,8.0,0.0,Alluxio-alluxio,tachyon.workerservicehandlertest.overreturnspacetest,1.0,"['public', 'void', 'throws']",True
12,17.0,1.0,Alluxio-alluxio,tachyon.journaltest.tabletest,1.0,"['new', 'new', 'new', 'true', 'private', 'void', 'throws']",True
15,18.0,1.0,Alluxio-alluxio,tachyon.journaltest.tabletest,1.0,"['new', 'new', 'new', 'true', 'private', 'void', 'throws']",True
19,26.0,0.0,Alluxio-alluxio,tachyon.journaltest.deletetest,1.0,"['for', 'int', 'for', 'int', 'if', 'false', 'if', 'true', 'true', 'public', 'void', 'throws']",True
35,46.0,0.0,Alluxio-alluxio,tachyon.inodefiletest.inoderepeatedlengthsettest,0.0,"['new', 'public', 'void', 'throws']",False
36,47.0,0.0,Alluxio-alluxio,tachyon.inodefiletest.iscompletetest,0.0,"['new', 'public', 'void', 'throws']",False
48,59.0,1.0,Alluxio-alluxio,tachyon.inodefiletest.getidtest,0.0,"['new', 'public', 'void']",False
63,74.0,0.0,Alluxio-alluxio,tachyon.inoderawtabletest.setnametest,0.0,"['new', 'null', 'public', 'void', 'throws']",False
65,76.0,0.0,Alluxio-alluxio,tachyon.pairtest.constructortest,0.0,"['for', 'int', 'for', 'int', 'new', 'public', 'void']",False
69,80.0,0.0,Alluxio-alluxio,tachyon.inodefoldertest.removenonexistentchildtest,0.0,"['new', 'public', 'void']",False
92,105.0,0.0,Alluxio-alluxio,tachyon.masterinfotest.createfileinvalidpathtest,1.0,"['public', 'void', 'throws']",True
102,115.0,1.0,Alluxio-alluxio,tachyon.masterinfotest.deletedirectorywithdirectoriestest2,1.0,"['int', 'int', 'false', 'public', 'void', 'throws']",True
111,128.0,1.0,Alluxio-alluxio,tachyon.client.table.rawtabletest.getcolumnstest,1.0,"['for', 'int', 'int', 'public', 'void', 'throws']",True
121,140.0,1.0,Alluxio-alluxio,tachyon.client.tachyonfstest.createfilewithcheckpointfiletest,1.0,"['public', 'void', 'throws']",True
130,149.0,0.0,Alluxio-alluxio,tachyon.client.tachyonfstest.createrawtablewithtablecolumnexceptiontest3,1.0,"['public', 'void', 'throws']",True
133,152.0,1.0,Alluxio-alluxio,tachyon.client.tachyonfstest.renamefiletest3,1.0,"['int', 'for', 'int', 'public', 'void', 'throws']",True
137,156.0,0.0,Alluxio-alluxio,tachyon.client.tachyonfstest.lockblocktest4,1.0,"['null', 'int', 'int', 'new', 'for', 'int', 'for', 'int', 'null', 'if', 'else', 'public', 'void', 'throws']",True
165,199.0,1.0,Alluxio-alluxio,tachyon.client.localblockinstreamtest.readtest2,1.0,"['for', 'int', 'for', 'int', 'if', 'instanceof', 'else', 'instanceof', 'byte', 'new', 'byte', 'if', 'instanceof', 'else', 'instanceof', 'new', 'byte', 'public', 'void', 'throws']",True
168,205.0,0.0,Alluxio-alluxio,tachyon.command.tfsshelltest.mkdirtest,1.0,"['new', 'new', 'public', 'void', 'throws']",True
0,2.0,1.0,Alluxio-alluxio,tachyon.masterclienttest.openclosetest,1.0,"['new', 'public', 'void', 'throws']",True
24,35.0,1.0,Alluxio-alluxio,tachyon.dataservertest.readpartialtest2,1.0,"['int', 'long', 'new', 'while', 'false', 'while', 'int', 'if', 'break', 'public', 'void', 'throws']",True
43,54.0,0.0,Alluxio-alluxio,tachyon.inodefiletest.comparabletest,0.0,"['new', 'new', 'public', 'void']",False
55,66.0,0.0,Alluxio-alluxio,tachyon.inoderawtabletest.updatemetadatatest,0.0,"['new', 'null', 'public', 'void', 'throws']",False
