id,nameProject,testCase,tloc,tmcCabe,assertionDensity,assertionRoulette,mysteryGuest,eagerTest,sensitiveEquality,resourceOptimism,conditionalTestLogic,fireAndForget,loc,lcom2,lcom5,cbo,wmc,rfc,mpc,halsteadVocabulary,halsteadLength,halsteadVolume,classDataShouldBePrivate,complexClass,functionalDecomposition,spaghettiCode,isFlaky
7,incubator-dubbo,org.apache.dubbo.serialization.SerializationTest.testContentType,0.0149253731343284,0,0,0,0,0,0,0,0,0,0.0123762376237624,0.000654664484451719,0,0.0434782608695652,0.0233644859813084,0.0113636363636364,0.0053475935828877,0.00794510653665583,0.0276548672566372,0.0159238877626758,0,0,0,0,FALSE
7,incubator-dubbo,org.apache.dubbo.serialization.SerializationTest.testContentTypeId,0.0149253731343284,0,0,0.0227272727272727,0,0,0,0,0,0,0.0123762376237624,0.000654664484451719,0,0.0434782608695652,0.0233644859813084,0.0113636363636364,0.0053475935828877,0.00794510653665583,0.0276548672566372,0.0159238877626758,0,0,0,0,FALSE
7,incubator-dubbo,org.apache.dubbo.serialization.SerializationTest.testObjectOutput,0.0223880597014925,0.125,0,0.0227272727272727,0,0.05,0,0,0,0,0.0123762376237624,0.000654664484451719,0,0.0434782608695652,0.0233644859813084,0.0113636363636364,0.0053475935828877,0.00794510653665583,0.0276548672566372,0.0159238877626758,0,0,0,0,FALSE
7,incubator-dubbo,org.apache.dubbo.serialization.SerializationTest.testObjectInput,0.0223880597014925,0.125,0,0.0227272727272727,0,0.05,0,0,0,0,0.0123762376237624,0.000654664484451719,0,0.0434782608695652,0.0233644859813084,0.0113636363636364,0.0053475935828877,0.00794510653665583,0.0276548672566372,0.0159238877626758,0,0,0,0,FALSE
7,incubator-dubbo,org.apache.dubbo.serialization.SerializationTest.testWriteUTF,0.0597014925373134,0.125,0.127946127946128,0,0,0,0,0,0,0,0.0123762376237624,0.000654664484451719,0,0.0434782608695652,0.0233644859813084,0.0113636363636364,0.0053475935828877,0.00794510653665583,0.0276548672566372,0.0159238877626758,0,0,0,0,FALSE
7,incubator-dubbo,org.apache.dubbo.serialization.SerializationTest.flushToInput,0.0298507462686567,0.125,0,0,0,0,0,0,0,0,0.0123762376237624,0.000654664484451719,0,0.0434782608695652,0.0233644859813084,0.0113636363636364,0.0053475935828877,0.00794510653665583,0.0276548672566372,0.0159238877626758,0,0,0,0,FALSE
7,incubator-dubbo,org.apache.dubbo.config.MethodConfigTest.testName,0.0522388059701493,0.125,0.071969696969697,0,0,0,0,0,0,0,0.000618811881188119,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
7,incubator-dubbo,org.apache.dubbo.config.MethodConfigTest.testStat,0.0298507462686567,0.125,0,0.0227272727272727,0,0,0,0,0,0,0.000618811881188119,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
7,incubator-dubbo,org.apache.dubbo.config.MethodConfigTest.testRetry,0.0298507462686567,0.125,0,0.0227272727272727,0,0,0,0,0,0,0.000618811881188119,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
7,incubator-dubbo,org.apache.dubbo.config.MethodConfigTest.testReliable,0.0298507462686567,0.125,0,0.0227272727272727,0,0,0,0,0,0,0.000618811881188119,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
