,id,projectName,testCase,isFlaky,prediction
17,13531.0,apache-httpcore,org.apache.http.impl.testdefaultconnectionreusestrategy.testconnectiontokens2,0.0,False
18,13532.0,apache-httpcore,org.apache.http.impl.testdefaultconnectionreusestrategy.testconnectiontokens3,0.0,False
42,13557.0,apache-httpcore,org.apache.http.impl.io.testcontentlengthoutputstream.testbasics,0.0,False
55,13572.0,apache-httpcore,org.apache.http.impl.entity.testentitydeserializer.testentitywithunsupportedtransferencoding,0.0,False
60,13577.0,apache-httpcore,org.apache.http.impl.entity.testentitydeserializer.testentitywithmultiplecontentlengthallwrong,0.0,False
62,13579.0,apache-httpcore,org.apache.http.impl.entity.testentitydeserializer.testentityneithercontentlengthnortransferencoding,0.0,False
65,13582.0,apache-httpcore,org.apache.http.impl.entity.teststrictcontentlengthstrategy.testentitywithchunktransferencoding,0.0,False
72,13589.0,apache-httpcore,org.apache.http.impl.entity.teststrictcontentlengthstrategy.testentitynocontentdelimiter,0.0,False
77,13594.0,apache-httpcore,org.apache.http.impl.entity.testentityserializer.testentitywithinvalidchunkencodingandhttp10,0.0,False
79,13596.0,apache-httpcore,org.apache.http.impl.entity.testentityserializer.testentitywithinvalidcontentlength,0.0,False
113,13630.0,apache-httpcore,org.apache.http.message.testheader.testtostring,0.0,False
117,13634.0,apache-httpcore,org.apache.http.message.testbasiclineparser.testrlparsesuccess,0.0,False
129,13646.0,apache-httpcore,org.apache.http.message.testbasicheadervalueparser.testnvparseusingcursor,0.0,False
131,13648.0,apache-httpcore,org.apache.http.message.testbasicheadervalueparser.testnvparseallwithcursor,0.0,False
137,13654.0,apache-httpcore,org.apache.http.message.teststatusline.testcloning,0.0,False
144,13661.0,apache-httpcore,org.apache.http.message.testbasictokeniterator.testtokenchar,0.0,False
145,13662.0,apache-httpcore,org.apache.http.message.testbasictokeniterator.testinvalid,0.0,False
153,13670.0,apache-httpcore,org.apache.http.message.testnamevaluepair.testcloning,0.0,False
157,13674.0,apache-httpcore,org.apache.http.message.testbufferedheader.testcloning,0.0,False
159,13676.0,apache-httpcore,org.apache.http.message.testbasicheaderelementiterator.testmultiheader,0.0,False
161,13678.0,apache-httpcore,org.apache.http.message.testbasicheaderelementiterator.testfringecases,0.0,False
164,13681.0,apache-httpcore,org.apache.http.message.testheaderelement.testinvalidname,0.0,False
171,13688.0,apache-httpcore,org.apache.http.message.testheadergroup.testclear,0.0,False
174,13691.0,apache-httpcore,org.apache.http.message.testheadergroup.testsetheaders,0.0,False
175,13692.0,apache-httpcore,org.apache.http.message.testheadergroup.testfirstlastheaders,0.0,False
178,13695.0,apache-httpcore,org.apache.http.message.testheadergroup.testheaderremove,0.0,False
231,13750.0,apache-httpcore,org.apache.http.protocol.testhttprequestexecutor.testexecutionentityenclosingrequestwithexpectcontinuenoresponse,0.0,False
242,13761.0,apache-httpcore,org.apache.http.pool.testroutespecificpool.testleasereleasestateful,0.0,False
252,13771.0,apache-httpcore,org.apache.http.concurrent.testbasicfuture.testcancelled,0.0,False
256,13778.0,apache-httpcore,org.apache.http.concurrent.testbasicfuture.testasynctimeout,0.0,False
328,13853.0,apache-httpcore,org.apache.http.entity.teststringentity.testwriteto,0.0,False
337,13862.0,apache-httpcore,org.apache.http.entity.testserializableentity.testwritetobuff,0.0,False
338,13863.0,apache-httpcore,org.apache.http.entity.testserializableentity.testwritetodirect,0.0,False
339,13864.0,apache-httpcore,org.apache.http.entity.testentitytemplate.testbasics,0.0,False
351,13879.0,apache-httpcore,org.apache.http.entity.testhttpentitywrapper.testwriteto,0.0,False
358,13886.0,apache-httpcore,org.apache.http.entity.testcontenttype.testcreateinvalidinput,0.0,False
371,13900.0,apache-httpcore,org.apache.http.params.testbasichttpparams.testremoveparam,0.0,False
