id,projectName,testCase,isFlaky,assertion-roulette,conditional-test-logic,eager-test,fire-and-forget,indirect-testing,mystery-guest,resource-optimism,test-run-war,testLength,numAsserts,numCoveredLines,ExecutionTime,projectSourceLinesCovered,projectSourceClassesCovered,hIndexModificationsPerCoveredLine_window5,hIndexModificationsPerCoveredLine_window10,hIndexModificationsPerCoveredLine_window25,hIndexModificationsPerCoveredLine_window50,hIndexModificationsPerCoveredLine_window75,hIndexModificationsPerCoveredLine_window100,hIndexModificationsPerCoveredLine_window500,hIndexModificationsPerCoveredLine_window10000,num_third_party_libs
8858,undertow-io-undertow,io.undertow.util.canonicalpathutilstestcase.testcanonicalization,0,1,0,0,0,0,0,0,0,35.0,20.0,20.0,0.042,58,2,0,0,0,0,0,0,0,2,0
8859,undertow-io-undertow,io.undertow.util.headermaptestcase.testinitial,0,1,0,0,0,0,0,0,0,6.0,3.0,4.0,0.004,7,3,0,0,0,0,0,0,0,1,0
8860,undertow-io-undertow,io.undertow.util.headermaptestcase.testsimple,0,1,0,0,0,1,0,0,0,11.0,6.0,9.0,0.001,13,4,0,0,0,0,0,0,0,1,0
8861,undertow-io-undertow,io.undertow.util.headermaptestcase.testgrowing,0,1,0,0,0,1,0,0,0,21.0,10.0,6.0,0.014,30,4,0,0,0,0,0,0,0,1,0
8862,undertow-io-undertow,io.undertow.util.headermaptestcase.testcollision,0,1,0,0,0,0,0,0,0,9.0,4.0,0.0,0.125,106,5,0,0,0,0,0,0,1,3,0
8863,undertow-io-undertow,io.undertow.util.statuscodestestcase.testcodelookup,0,0,0,0,0,0,0,0,0,3.0,1.0,1.0,0.016,44,3,0,0,0,0,0,0,0,2,0
8864,undertow-io-undertow,io.undertow.util.securehashmaptestcase.testgetnonexistentdoesnotnpe,0,0,0,0,0,0,0,0,0,4.0,0.0,2.0,0.179,15,6,0,0,0,0,0,0,0,1,0
8865,undertow-io-undertow,io.undertow.util.securehashmaptestcase.testlotsofputsandgets,0,1,0,0,0,1,0,0,0,17.0,3.0,6.0,0.902,28,8,0,0,0,0,0,0,1,1,0
8866,undertow-io-undertow,io.undertow.util.etagutilstestcase.testparseheaderlist,0,1,0,0,0,0,0,0,0,21.0,3.0,3.0,0.07,43,4,0,0,0,0,0,0,1,1,0
8867,undertow-io-undertow,io.undertow.util.httpstringtestcase.testordershorterfirst,0,0,0,0,0,0,0,0,0,5.0,1.0,3.0,0.0,5,2,0,0,0,0,0,0,0,1,0
8868,undertow-io-undertow,io.undertow.util.httpstringtestcase.testcompareshorterfirst,0,1,0,0,0,0,0,0,0,10.0,2.0,4.0,0.074,107,3,0,0,0,0,0,0,1,3,0
8869,undertow-io-undertow,io.undertow.util.httpstringtestcase.testcompare,0,1,0,0,0,0,0,0,0,10.0,2.0,4.0,0.001,6,2,0,0,0,0,0,0,0,1,0
8870,undertow-io-undertow,io.undertow.util.headervaluestestcase.testbasic,0,1,0,0,0,0,0,0,0,12.0,9.0,10.0,0.002,13,3,0,0,0,0,0,0,0,1,0
8871,undertow-io-undertow,io.undertow.util.headervaluestestcase.testadd,0,1,0,0,0,0,0,0,0,35.0,30.0,31.0,0.095,136,4,0,0,0,0,0,0,1,3,0
8872,undertow-io-undertow,io.undertow.util.testversion.testversionset,0,1,0,0,0,0,0,0,0,6.0,2.0,4.0,0.022,13,2,0,0,0,0,0,0,0,1,0
8873,undertow-io-undertow,io.undertow.util.cookiestestcase.testparsingsetcookieheaderv0,0,1,0,0,0,0,0,0,0,14.0,8.0,5.0,0.15,20,6,0,0,0,0,0,0,2,2,0
8874,undertow-io-undertow,io.undertow.util.cookiestestcase.testparsingsetcookieheaderv1,0,1,0,0,0,1,0,0,0,15.0,9.0,11.0,0.001,21,3,0,0,0,0,0,0,1,1,0
8878,undertow-io-undertow,io.undertow.server.httpserverexchangetestcase.testhttpserverexchange,0,1,0,0,0,1,0,0,0,16.0,4.0,9.0,2.58,289,50,0,1,1,1,1,1,2,3,3
8881,undertow-io-undertow,io.undertow.server.security.digestauthentication2069testcase.testdigestsuccess,1,1,0,0,0,1,0,0,0,68.0,13.0,75.0,0.084,254,66,0,1,1,1,1,1,2,3,24
8882,undertow-io-undertow,io.undertow.server.security.digestauthentication2069testcase.testbadusername,0,1,0,0,0,1,0,0,0,40.0,6.0,52.0,0.043,210,61,0,1,1,1,1,1,2,3,14
8883,undertow-io-undertow,io.undertow.server.security.digestauthentication2069testcase.testbadpassword,0,1,0,0,0,0,0,0,0,37.0,6.0,23.0,2.977,416,81,0,1,1,1,1,1,2,3,2
8884,undertow-io-undertow,io.undertow.server.security.digestauthentication2069testcase.testdifferentnonce,0,1,0,0,0,1,0,0,0,69.0,14.0,75.0,0.059,248,65,0,1,1,1,1,1,2,3,22
8885,undertow-io-undertow,io.undertow.server.security.digestauthentication2069testcase.testnoncereuse,1,1,0,0,0,1,0,0,0,80.0,17.0,84.0,0.127,257,65,0,1,1,1,1,1,2,3,28
8892,undertow-io-undertow,io.undertow.server.security.digestauthenticationauthtestcase.testdigestsuccess,1,1,0,0,0,1,0,0,0,58.0,16.0,39.0,0.149,247,68,0,1,1,1,1,1,2,3,17
8893,undertow-io-undertow,io.undertow.server.security.digestauthenticationauthtestcase.testbadusername,0,1,0,0,0,1,0,0,0,38.0,8.0,47.0,0.058,216,64,0,1,1,1,1,1,2,3,13
8894,undertow-io-undertow,io.undertow.server.security.digestauthenticationauthtestcase.testbadpassword,0,1,0,0,0,0,0,0,0,38.0,8.0,24.0,2.965,484,82,0,1,1,1,1,1,2,4,2
8895,undertow-io-undertow,io.undertow.server.security.digestauthenticationauthtestcase.testbadnonce,0,1,0,0,0,1,0,0,0,38.0,8.0,47.0,0.101,216,64,0,1,1,1,1,1,2,3,13
8896,undertow-io-undertow,io.undertow.server.security.digestauthenticationauthtestcase.testnoncecountreuse,0,1,1,0,0,1,0,0,0,64.0,17.0,39.0,0.093,237,68,0,1,1,1,1,1,2,3,19
