,id,projectName,testCase,isFlaky,prediction
4,7709.0,doanduyhai-Achilles,info.archinnov.achilles.schemabuilder.createtest.should_create_simple_table_with_list,0.0,False
25,7730.0,doanduyhai-Achilles,info.archinnov.achilles.schemabuilder.createtest.should_fail_if_same_partition_and_static_column,0.0,False
27,7732.0,doanduyhai-Achilles,info.archinnov.achilles.schemabuilder.createtest.should_fail_if_same_simple_and_static_column,0.0,False
34,7739.0,doanduyhai-Achilles,info.archinnov.achilles.schemabuilder.createtest.should_fail_if_static_column_is_a_reserved_keyword,0.0,False
44,7749.0,doanduyhai-Achilles,info.archinnov.achilles.schemabuilder.altertest.should_fail_if_added_column_is_a_reserved_keyword,0.0,False
46,7751.0,doanduyhai-Achilles,info.archinnov.achilles.schemabuilder.altertest.should_fail_if_renamed_column_is_a_reserved_keyword,0.0,False
56,7761.0,doanduyhai-Achilles,info.archinnov.achilles.type.optionstest.should_duplicate_with_new_consistency_level,0.0,False
64,7769.0,doanduyhai-Achilles,info.archinnov.achilles.type.typedmaptest.should_return_default,0.0,False
80,7788.0,doanduyhai-Achilles,info.archinnov.achilles.query.slice.rootslicequerybuildertest.should_exception_when_partition_components_do_not_match,0.0,False
89,7797.0,doanduyhai-Achilles,info.archinnov.achilles.query.slice.rootslicequerybuildertest.should_exception_when_null_consistency_level,0.0,False
90,7798.0,doanduyhai-Achilles,info.archinnov.achilles.query.slice.rootslicequerybuildertest.should_set_limit,0.0,False
100,7808.0,doanduyhai-Achilles,info.archinnov.achilles.query.slice.rootslicequerybuildertest.should_get_last_n,0.0,False
101,7809.0,doanduyhai-Achilles,info.archinnov.achilles.query.slice.rootslicequerybuildertest.should_get_last_n_with_clustering_components,0.0,False
104,7812.0,doanduyhai-Achilles,info.archinnov.achilles.query.slice.rootslicequerybuildertest.should_get_iterator_with_batch_size,0.0,False
105,7813.0,doanduyhai-Achilles,info.archinnov.achilles.query.slice.rootslicequerybuildertest.should_get_iterator_with_batch_size_and_components,0.0,False
112,7820.0,doanduyhai-Achilles,info.archinnov.achilles.query.slice.rootslicequerybuildertest.should_remove_last,0.0,False
126,7837.0,doanduyhai-Achilles,info.archinnov.achilles.query.slice.slicequeryvalidatortest.should_exception_when_components_are_not_equal_case2,0.0,False
128,7840.0,doanduyhai-Achilles,info.archinnov.achilles.query.slice.cqlslicequerytest.should_get_fixed_components_when_start_same_as_end,0.0,False
131,7843.0,doanduyhai-Achilles,info.archinnov.achilles.query.slice.cqlslicequerytest.should_get_last_components_when_start_same_as_end,0.0,False
141,7853.0,doanduyhai-Achilles,info.archinnov.achilles.query.slice.cqlslicequerytest.should_get_varying_component_name,0.0,False
143,7855.0,doanduyhai-Achilles,info.archinnov.achilles.query.slice.cqlslicequerytest.should_get_achilles_ordering,0.0,False
145,7857.0,doanduyhai-Achilles,info.archinnov.achilles.query.slice.cqlslicequerytest.should_exception_when_limit_set_for_remove,0.0,False
162,7878.0,doanduyhai-Achilles,info.archinnov.achilles.persistence.persistencemanagertest.should_update,0.0,False
188,7904.0,doanduyhai-Achilles,info.archinnov.achilles.persistence.persistencemanagertest.should_get_indexed_query,0.0,False
191,7908.0,doanduyhai-Achilles,info.archinnov.achilles.persistence.persistencemanagerfactorytest.should_bootstrap_persistence_manager_factory,0.0,False
192,7909.0,doanduyhai-Achilles,info.archinnov.achilles.persistence.persistencemanagerfactorytest.should_create_persistence_manager,0.0,False
194,7911.0,doanduyhai-Achilles,info.archinnov.achilles.persistence.persistencemanagerfactorytest.should_serialize_to_json,0.0,False
215,7934.0,doanduyhai-Achilles,info.archinnov.achilles.configuration.argumentextractortest.should_init_default_object_factory_mapper,0.0,False
218,7937.0,doanduyhai-Achilles,info.archinnov.achilles.configuration.argumentextractortest.should_init_force_update_map,0.0,False
262,7984.0,doanduyhai-Achilles,info.archinnov.achilles.internal.table.tableupdatertest.should_update_table_with_new_indexed_simple_field,0.0,False
271,7994.0,doanduyhai-Achilles,info.archinnov.achilles.internal.table.tablevalidatortest.should_validate_simple_indexed_field_for_entity,0.0,False
287,8010.0,doanduyhai-Achilles,info.archinnov.achilles.internal.table.tablevalidatortest.should_exception_when_no_counter_value_column,0.0,False
288,8011.0,doanduyhai-Achilles,info.archinnov.achilles.internal.table.tablevalidatortest.should_exception_when_counter_value_column_bad_type,0.0,False
289,8012.0,doanduyhai-Achilles,info.archinnov.achilles.internal.table.tablenamenormalizertest.should_exception_when_even_class_name_exceeeds_48_characters,0.0,False
296,8020.0,doanduyhai-Achilles,info.archinnov.achilles.internal.metadata.transcoding.compoundtranscodertest.should_decode_from_components_with_injection_by_setters,0.0,False
297,8021.0,doanduyhai-Achilles,info.archinnov.achilles.internal.metadata.transcoding.settranscodertest.should_encode,0.0,False
299,8023.0,doanduyhai-Achilles,info.archinnov.achilles.internal.metadata.transcoding.simpletranscodertest.should_encode,0.0,False
307,8031.0,doanduyhai-Achilles,info.archinnov.achilles.internal.metadata.transcoding.maptranscodertest.should_decode_key,0.0,False
309,8034.0,doanduyhai-Achilles,info.archinnov.achilles.internal.metadata.transcoding.abstracttranscodertest.should_encode_primitive_byte_type,0.0,False
310,8035.0,doanduyhai-Achilles,info.archinnov.achilles.internal.metadata.transcoding.abstracttranscodertest.should_encode_object_byte_type,0.0,False
329,8054.0,doanduyhai-Achilles,info.archinnov.achilles.internal.metadata.transcoding.abstracttranscodertest.should_exception_by_default_on_decode_object,0.0,False
333,8058.0,doanduyhai-Achilles,info.archinnov.achilles.internal.metadata.transcoding.abstracttranscodertest.should_exception_by_default_on_decode_map,0.0,False
355,8080.0,doanduyhai-Achilles,info.archinnov.achilles.internal.metadata.holder.clusteringcomponentstest.should_exception_when_component_not_comparable_for_clustering_component,0.0,False
379,8110.0,doanduyhai-Achilles,info.archinnov.achilles.internal.metadata.holder.entitymetatest.should_test,0.0,False
386,8117.0,doanduyhai-Achilles,info.archinnov.achilles.internal.metadata.holder.counterpropertiestest.should_to_string,0.0,False
396,8128.0,doanduyhai-Achilles,info.archinnov.achilles.internal.metadata.holder.propertymetatest.should_get_fqcn,0.0,False
412,8144.0,doanduyhai-Achilles,info.archinnov.achilles.internal.metadata.holder.propertymetatest.should_get_component_classes,0.0,False
419,8151.0,doanduyhai-Achilles,info.archinnov.achilles.internal.metadata.holder.propertymetatest.should_force_encode_to_json,0.0,False
433,8165.0,doanduyhai-Achilles,info.archinnov.achilles.internal.metadata.holder.propertymetatest.should_get_clustering_component_classes,0.0,False
444,8176.0,doanduyhai-Achilles,info.archinnov.achilles.internal.metadata.holder.embeddedidpropertiestest.should_get_clustering_component_names_and_classes,0.0,False
449,8182.0,doanduyhai-Achilles,info.archinnov.achilles.internal.metadata.parsing.propertyparsertest.should_determine_allowed_native_types,0.0,False
465,8198.0,doanduyhai-Achilles,info.archinnov.achilles.internal.metadata.parsing.propertyparsertest.should_parse_list,0.0,False
469,8202.0,doanduyhai-Achilles,info.archinnov.achilles.internal.metadata.parsing.propertyparsertest.should_infer_value_class_from_list,0.0,False
476,8209.0,doanduyhai-Achilles,info.archinnov.achilles.internal.metadata.parsing.propertyparsertest.should_infer_entity_class_from_interceptor,0.0,False
484,8222.0,doanduyhai-Achilles,info.archinnov.achilles.internal.metadata.parsing.entityparsertest.should_exception_when_entity_has_duplicated_column_name,0.0,False
498,8237.0,doanduyhai-Achilles,info.archinnov.achilles.internal.metadata.parsing.embeddedidparsertest.should_exception_when_embedded_id_has_inconsistent_compound_partition_key,0.0,False
504,8243.0,doanduyhai-Achilles,info.archinnov.achilles.internal.metadata.parsing.propertyfiltertest.should_match_annotation,0.0,False
505,8244.0,doanduyhai-Achilles,info.archinnov.achilles.internal.metadata.parsing.propertyfiltertest.should_match_annotation_and_name,0.0,False
525,8264.0,doanduyhai-Achilles,info.archinnov.achilles.internal.metadata.parsing.entityintrospectortest.should_get_inherited_field_by_annotation_and_name,0.0,False
531,8270.0,doanduyhai-Achilles,info.archinnov.achilles.internal.metadata.parsing.entityintrospectortest.should_find_consistency_level_by_default,0.0,False
536,8275.0,doanduyhai-Achilles,info.archinnov.achilles.internal.metadata.parsing.context.entityparsingcontexttest.should_determine_schema_update_status_for_table_from_map,0.0,False
539,8278.0,doanduyhai-Achilles,info.archinnov.achilles.internal.metadata.parsing.validator.propertyparsingvalidatortest.should_exception_when_duplicate_property_meta,0.0,False
551,8291.0,doanduyhai-Achilles,info.archinnov.achilles.internal.metadata.discovery.achillesbootstrappertest.should_build_meta_data_with_field_level_constrained_bean,0.0,False
557,8297.0,doanduyhai-Achilles,info.archinnov.achilles.internal.metadata.discovery.achillesbootstrappertest.should_add_event_interceptors_to_entity_metas,0.0,False
559,8306.0,doanduyhai-Achilles,info.archinnov.achilles.internal.proxy.entityinterceptortest.should_return_key_when_invoking_id_getter,0.0,False
570,8317.0,doanduyhai-Achilles,info.archinnov.achilles.internal.proxy.entityinterceptortest.should_set_simple_value,0.0,False
572,8319.0,doanduyhai-Achilles,info.archinnov.achilles.internal.proxy.entityinterceptortest.should_set_list_value_to_null,0.0,False
578,8325.0,doanduyhai-Achilles,info.archinnov.achilles.internal.proxy.entityinterceptorbuildertest.should_build_interceptor_with_eager_fields_already_loaded,0.0,False
596,8344.0,doanduyhai-Achilles,info.archinnov.achilles.internal.proxy.wrapper.mapwrappertest.should_not_mark_dirty_on_remove_non_existing,0.0,False
601,8353.0,doanduyhai-Achilles,info.archinnov.achilles.internal.proxy.wrapper.setwrappertest.should_not_mark_dirty_on_empty_add_all,0.0,False
604,8356.0,doanduyhai-Achilles,info.archinnov.achilles.internal.proxy.wrapper.setwrappertest.should_return_true_on_contains,0.0,False
619,8373.0,doanduyhai-Achilles,info.archinnov.achilles.internal.proxy.wrapper.listwrappertest.should_mark_dirty_on_add_all,0.0,False
627,8381.0,doanduyhai-Achilles,info.archinnov.achilles.internal.proxy.wrapper.listwrappertest.should_get_element_at_index,0.0,False
634,8388.0,doanduyhai-Achilles,info.archinnov.achilles.internal.proxy.wrapper.listwrappertest.should_return_true_on_is_empty,0.0,False
648,8405.0,doanduyhai-Achilles,info.archinnov.achilles.internal.proxy.wrapper.builder.mapwrapperbuildertest.should_build,0.0,False
667,8428.0,doanduyhai-Achilles,info.archinnov.achilles.internal.proxy.dirtycheck.dirtycheckchangesettest.should_generate_update_for_remove_element_at_index,0.0,False
