idProject,nameProject,testCase,tloc,tmcCabe,assertionDensity,assertionRoulette,mysteryGuest,eagerTest,sensitiveEquality,resourceOptimism,conditionalTestLogic,fireAndForget,testRunWar,loc,lcom2,lcom5,cbo,wmc,rfc,mpc,halsteadVocabulary,halsteadLength,halsteadVolume,classDataShouldBePrivate,complexClass,functionalDecomposition,godClass,spaghettiCode,isFlaky
35,json-schema-validator,com.networknt.schema.CollectorContextTest.setup,3.0,3.0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0,140.0,0.0,2.0,4.0,19.0,20.0,12.0,528.0,165.0,1034.4008868115332,0,0,0,0.0,0.0,0
35,json-schema-validator,com.networknt.schema.CollectorContextTest.cleanup,5.0,2.0,0.0,0.0,0.0,2,0.0,0,1.0,0.0,0.0,140.0,0.0,2.0,4.0,19.0,20.0,12.0,528.0,165.0,1034.4008868115332,0,0,0,0.0,0.0,0
35,json-schema-validator,com.networknt.schema.CollectorContextTest.testCollectorContextWithKeyword,9.0,2.0,1.0,3.0,0.0,1,0.0,0,0.0,0.0,0.0,140.0,0.0,2.0,4.0,19.0,20.0,12.0,528.0,165.0,1034.4008868115332,0,0,0,0.0,0.0,1
35,json-schema-validator,com.networknt.schema.CollectorContextTest.testCollectorContextWithMultipleThreads,26.0,2.0,0.4230769230769231,3.0,0.0,1,0.0,0,0.0,0.0,0.0,140.0,0.0,2.0,4.0,19.0,20.0,12.0,528.0,165.0,1034.4008868115332,0,0,0,0.0,0.0,0
35,json-schema-validator,com.networknt.schema.CollectorContextTest.testCollectorGetAll,7.0,2.0,0.4285714285714285,2.0,0.0,1,0.0,0,0.0,0.0,0.0,140.0,0.0,2.0,4.0,19.0,20.0,12.0,528.0,165.0,1034.4008868115332,0,0,0,0.0,0.0,0
35,json-schema-validator,com.networknt.schema.CollectorContextTest.getJsonMetaSchema,21.0,5.0,0.0,0.0,0.0,4,0.0,0,2.0,0.0,0.0,140.0,0.0,2.0,4.0,19.0,20.0,12.0,528.0,165.0,1034.4008868115332,0,0,0,0.0,0.0,0
35,json-schema-validator,com.networknt.schema.CollectorContextTest.matches,9.0,3.0,0.0,0.0,0.0,4,0.0,0,1.0,0.0,0.0,140.0,0.0,2.0,4.0,19.0,20.0,12.0,528.0,165.0,1034.4008868115332,0,0,0,0.0,0.0,0
35,json-schema-validator,com.networknt.schema.CollectorContextTest.getName,3.0,3.0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0,140.0,0.0,2.0,4.0,19.0,20.0,12.0,528.0,165.0,1034.4008868115332,0,0,0,0.0,0.0,0
35,json-schema-validator,com.networknt.schema.CollectorContextTest.getErrorMessageDescription,3.0,2.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,140.0,0.0,2.0,4.0,19.0,20.0,12.0,528.0,165.0,1034.4008868115332,0,0,0,0.0,0.0,0
35,json-schema-validator,com.networknt.schema.CollectorContextTest.setupSchema,6.0,2.0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,140.0,0.0,2.0,4.0,19.0,20.0,12.0,528.0,165.0,1034.4008868115332,0,0,0,0.0,0.0,0
35,json-schema-validator,com.networknt.schema.CollectorContextTest.getSchemaString,3.0,2.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,140.0,0.0,2.0,4.0,19.0,20.0,12.0,528.0,165.0,1034.4008868115332,0,0,0,0.0,0.0,0
35,json-schema-validator,com.networknt.schema.CollectorContextTest.getSchemaStringMultipleProperties,3.0,3.0,0.0,0.0,0.0,0,0.0,0,2.0,0.0,0.0,140.0,0.0,2.0,4.0,19.0,20.0,12.0,528.0,165.0,1034.4008868115332,0,0,0,0.0,0.0,0
35,json-schema-validator,com.networknt.schema.CollectorContextTest.validate,4.0,3.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,140.0,0.0,2.0,4.0,19.0,20.0,12.0,528.0,165.0,1034.4008868115332,0,0,0,0.0,0.0,0
35,json-schema-validator,com.networknt.schema.CollectorContextTest.getDatasourceMap,7.0,2.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,140.0,0.0,2.0,4.0,19.0,20.0,12.0,528.0,165.0,1034.4008868115332,0,0,0,0.0,0.0,0
35,json-schema-validator,com.networknt.schema.JsonMetaSchemaTest.timeFormatValidation,14.0,4.0,0.1428571428571428,0.0,0.0,0,0.0,0,4.0,0.0,0.0,410.0,40.0,2.0,7.0,36.0,35.0,23.0,1468.0,304.0,2216.663487589036,0,0,0,0.0,0.0,0
35,json-schema-validator,com.networknt.schema.MaximumValidatorTest.augmentWithQuotes,7.0,3.0,0.0,0.0,0.0,0,0.0,0,2.0,0.0,0.0,122.0,7.0,1.0,7.0,22.0,48.0,42.0,730.0,109.0,718.6418542215256,0,0,0,0.0,0.0,0
35,json-schema-validator,com.networknt.schema.MaximumValidatorTest.positiveNumber,4.0,2.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,122.0,7.0,1.0,7.0,22.0,48.0,42.0,730.0,109.0,718.6418542215256,0,0,0,0.0,0.0,0
35,json-schema-validator,com.networknt.schema.MaximumValidatorTest.negativeNumber,6.0,2.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,122.0,7.0,1.0,7.0,22.0,48.0,42.0,730.0,109.0,718.6418542215256,0,0,0,0.0,0.0,0
35,json-schema-validator,com.networknt.schema.MaximumValidatorTest.positiveInteger,5.0,2.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,122.0,7.0,1.0,7.0,22.0,48.0,42.0,730.0,109.0,718.6418542215256,0,0,0,0.0,0.0,0
35,json-schema-validator,com.networknt.schema.MaximumValidatorTest.negativeInteger,5.0,2.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,122.0,7.0,1.0,7.0,22.0,48.0,42.0,730.0,109.0,718.6418542215256,0,0,0,0.0,0.0,0
35,json-schema-validator,com.networknt.schema.MaximumValidatorTest.positiveExclusiveInteger,5.0,2.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,122.0,7.0,1.0,7.0,22.0,48.0,42.0,730.0,109.0,718.6418542215256,0,0,0,0.0,0.0,0
