idProject,nameProject,testCase,tloc,tmcCabe,assertionDensity,assertionRoulette,mysteryGuest,eagerTest,sensitiveEquality,resourceOptimism,conditionalTestLogic,fireAndForget,testRunWar,loc,lcom2,lcom5,cbo,wmc,rfc,mpc,halsteadVocabulary,halsteadLength,halsteadVolume,classDataShouldBePrivate,complexClass,functionalDecomposition,godClass,spaghettiCode,isFlaky
63,spring-data-gemfire,org.springframework.data.gemfire.cache.CallableCacheLoaderAdapterTest.constructCallableCacheLoaderAdapterWithArgumentKeyAndRegion,8.0,1.0,0.5,3.0,0.0,7,0.0,0,0.0,0.0,0.0,200.0,77.0,4.0,7.0,39.0,27.0,13.0,983.0,250.0,1722.6522800367916,0,0,0,0.0,0.0,0
63,spring-data-gemfire,org.springframework.data.gemfire.cache.CallableCacheLoaderAdapterTest.constructCallableCacheLoaderAdapterWithKeyRegionAndNoArgument,8.0,1.0,0.5,4.0,0.0,7,0.0,0,0.0,0.0,0.0,200.0,77.0,4.0,7.0,39.0,27.0,13.0,983.0,250.0,1722.6522800367916,0,0,0,0.0,0.0,0
63,spring-data-gemfire,org.springframework.data.gemfire.cache.CallableCacheLoaderAdapterTest.constructCallableCacheLoaderAdapterWithNoArgumentKeyOrRegion,8.0,1.0,0.5,5.0,0.0,7,0.0,0,0.0,0.0,0.0,200.0,77.0,4.0,7.0,39.0,27.0,13.0,983.0,250.0,1722.6522800367916,0,0,0,0.0,0.0,0
63,spring-data-gemfire,org.springframework.data.gemfire.cache.CallableCacheLoaderAdapterTest.constructCallableCacheLoaderAdapterWithNullCacheLoader,6.0,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,200.0,77.0,4.0,7.0,39.0,27.0,13.0,983.0,250.0,1722.6522800367916,0,0,0,0.0,0.0,0
63,spring-data-gemfire,org.springframework.data.gemfire.cache.CallableCacheLoaderAdapterTest.callDelegatesToLoad,16.0,4.0,0.25,2.0,0.0,8,0.0,0,1.0,0.0,0.0,200.0,77.0,4.0,7.0,39.0,27.0,13.0,983.0,250.0,1722.6522800367916,0,0,0,0.0,0.0,0
63,spring-data-gemfire,org.springframework.data.gemfire.cache.CallableCacheLoaderAdapterTest.answer,8.0,3.0,0.375,2.0,0.0,6,0.0,0,0.0,0.0,0.0,200.0,77.0,4.0,7.0,39.0,27.0,13.0,983.0,250.0,1722.6522800367916,0,0,0,0.0,0.0,0
63,spring-data-gemfire,org.springframework.data.gemfire.cache.CallableCacheLoaderAdapterTest.callThrowsIllegalStateExceptionForNullKey,9.0,3.0,0.1111111111111111,2.0,0.0,5,0.0,0,2.0,0.0,0.0,200.0,77.0,4.0,7.0,39.0,27.0,13.0,983.0,250.0,1722.6522800367916,0,0,0,0.0,0.0,0
63,spring-data-gemfire,org.springframework.data.gemfire.cache.CallableCacheLoaderAdapterTest.callThrowsIllegalStateExceptionForNullRegion,9.0,2.0,0.1111111111111111,1.0,0.0,5,0.0,0,0.0,0.0,0.0,200.0,77.0,4.0,7.0,39.0,27.0,13.0,983.0,250.0,1722.6522800367916,0,0,0,0.0,0.0,0
63,spring-data-gemfire,org.springframework.data.gemfire.cache.CallableCacheLoaderAdapterTest.closeDelegatesToCacheLoaderClose,4.0,2.0,0.0,0.0,0.0,1,0.0,0,1.0,0.0,0.0,200.0,77.0,4.0,7.0,39.0,27.0,13.0,983.0,250.0,1722.6522800367916,0,0,0,0.0,0.0,0
63,spring-data-gemfire,org.springframework.data.gemfire.cache.CallableCacheLoaderAdapterTest.loadDelegatesToCacheLoaderLoad,6.0,2.0,0.0,0.0,0.0,1,0.0,0,1.0,0.0,0.0,200.0,77.0,4.0,7.0,39.0,27.0,13.0,983.0,250.0,1722.6522800367916,0,0,0,0.0,0.0,0
63,spring-data-gemfire,org.springframework.data.gemfire.CacheFactoryBeanTest.afterPropertiesSetAppliesCacheConfigurersAndThenInitializesBeanFactoryLocator,7.0,3.0,0.0,0.0,0.0,3,0.0,0,5.0,0.0,0.0,1354.0,4106.0,2.0,50.0,183.0,127.0,34.0,4629.0,932.0,7866.169603441144,0,0,0,0.0,255.0,0
63,spring-data-gemfire,org.springframework.data.gemfire.CacheFactoryBeanTest.applyingCacheConfigurersDisablesAutoReconnectAndDoesNotUseClusterConfigurationByDefault,10.0,1.0,0.4,1.0,0.0,2,0.0,0,0.0,0.0,0.0,1354.0,4106.0,2.0,50.0,183.0,127.0,34.0,4629.0,932.0,7866.169603441144,0,0,0,0.0,255.0,0
63,spring-data-gemfire,org.springframework.data.gemfire.CacheFactoryBeanTest.applyCacheConfigurersWithAutoReconnectAndClusterConfigurationDisabled,12.0,1.0,0.3333333333333333,1.0,0.0,4,0.0,0,0.0,0.0,0.0,1354.0,4106.0,2.0,50.0,183.0,127.0,34.0,4629.0,932.0,7866.169603441144,0,0,0,0.0,255.0,0
63,spring-data-gemfire,org.springframework.data.gemfire.CacheFactoryBeanTest.applyCacheConfigurersWithAutoReconnectAndClusterConfigurationEnabled,12.0,1.0,0.3333333333333333,1.0,0.0,4,0.0,0,0.0,0.0,0.0,1354.0,4106.0,2.0,50.0,183.0,127.0,34.0,4629.0,932.0,7866.169603441144,0,0,0,0.0,255.0,0
63,spring-data-gemfire,org.springframework.data.gemfire.CacheFactoryBeanTest.applyCacheConfigurersWithAutoReconnectDisabledAndClusterConfigurationEnabled,12.0,1.0,0.3333333333333333,1.0,0.0,4,0.0,0,0.0,0.0,0.0,1354.0,4106.0,2.0,50.0,183.0,127.0,34.0,4629.0,932.0,7866.169603441144,0,0,0,0.0,255.0,0
63,spring-data-gemfire,org.springframework.data.gemfire.CacheFactoryBeanTest.applyCacheConfigurersWithAutoReconnectEnabledAndClusterConfigurationDisabled,12.0,1.0,0.3333333333333333,1.0,0.0,4,0.0,0,0.0,0.0,0.0,1354.0,4106.0,2.0,50.0,183.0,127.0,34.0,4629.0,932.0,7866.169603441144,0,0,0,0.0,255.0,0
63,spring-data-gemfire,org.springframework.data.gemfire.CacheFactoryBeanTest.getObjectCallsInit,14.0,4.0,0.0714285714285714,2.0,0.0,1,0.0,0,1.0,0.0,0.0,1354.0,4106.0,2.0,50.0,183.0,127.0,34.0,4629.0,932.0,7866.169603441144,0,0,0,0.0,255.0,0
63,spring-data-gemfire,org.springframework.data.gemfire.CacheFactoryBeanTest.init,4.0,2.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1354.0,4106.0,2.0,50.0,183.0,127.0,34.0,4629.0,932.0,7866.169603441144,0,0,0,0.0,255.0,0
63,spring-data-gemfire,org.springframework.data.gemfire.CacheFactoryBeanTest.getObjectReturnsExistingCache,7.0,3.0,0.0,1.0,0.0,2,0.0,0,1.0,0.0,0.0,1354.0,4106.0,2.0,50.0,183.0,127.0,34.0,4629.0,932.0,7866.169603441144,0,0,0,0.0,255.0,0
63,spring-data-gemfire,org.springframework.data.gemfire.CacheFactoryBeanTest.init,91.0,4.0,0.0439560439560439,5.0,0.0,26,0.0,0,22.0,0.0,0.0,1354.0,4106.0,2.0,50.0,183.0,127.0,34.0,4629.0,932.0,7866.169603441144,0,0,0,0.0,255.0,0
63,spring-data-gemfire,org.springframework.data.gemfire.CacheFactoryBeanTest.createFactory,5.0,2.0,0.2,2.0,0.0,0,0.0,0,0.0,0.0,0.0,1354.0,4106.0,2.0,50.0,183.0,127.0,34.0,4629.0,932.0,7866.169603441144,0,0,0,0.0,255.0,0
63,spring-data-gemfire,org.springframework.data.gemfire.CacheFactoryBeanTest.resolveCacheCallsFetchCacheReturnsMock,11.0,3.0,0.0,1.0,0.0,1,0.0,0,1.0,0.0,0.0,1354.0,4106.0,2.0,50.0,183.0,127.0,34.0,4629.0,932.0,7866.169603441144,0,0,0,0.0,255.0,0
63,spring-data-gemfire,org.springframework.data.gemfire.CacheFactoryBeanTest.fetchCache,3.0,2.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1354.0,4106.0,2.0,50.0,183.0,127.0,34.0,4629.0,932.0,7866.169603441144,0,0,0,0.0,255.0,0
63,spring-data-gemfire,org.springframework.data.gemfire.CacheFactoryBeanTest.resolveCacheCreatesCacheWhenFetchCacheThrowsCacheClosedException,18.0,4.0,0.0555555555555555,2.0,0.0,2,0.0,0,2.0,0.0,0.0,1354.0,4106.0,2.0,50.0,183.0,127.0,34.0,4629.0,932.0,7866.169603441144,0,0,0,0.0,255.0,0
63,spring-data-gemfire,org.springframework.data.gemfire.CacheFactoryBeanTest.fetchCache,3.0,2.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1354.0,4106.0,2.0,50.0,183.0,127.0,34.0,4629.0,932.0,7866.169603441144,0,0,0,0.0,255.0,0
63,spring-data-gemfire,org.springframework.data.gemfire.CacheFactoryBeanTest.createFactory,4.0,2.0,0.0,1.0,0.0,1,0.0,0,0.0,0.0,0.0,1354.0,4106.0,2.0,50.0,183.0,127.0,34.0,4629.0,932.0,7866.169603441144,0,0,0,0.0,255.0,0
63,spring-data-gemfire,org.springframework.data.gemfire.CacheFactoryBeanTest.fetchExistingCache,8.0,2.0,0.0,1.0,0.0,2,0.0,0,1.0,0.0,0.0,1354.0,4106.0,2.0,50.0,183.0,127.0,34.0,4629.0,932.0,7866.169603441144,0,0,0,0.0,255.0,0
63,spring-data-gemfire,org.springframework.data.gemfire.CacheFactoryBeanTest.resolveProperties,6.0,1.0,0.0,1.0,0.0,2,0.0,0,0.0,0.0,0.0,1354.0,4106.0,2.0,50.0,183.0,127.0,34.0,4629.0,932.0,7866.169603441144,0,0,0,0.0,255.0,0
63,spring-data-gemfire,org.springframework.data.gemfire.CacheFactoryBeanTest.resolvePropertiesWhenNull,7.0,1.0,0.1428571428571428,2.0,0.0,2,0.0,0,0.0,0.0,0.0,1354.0,4106.0,2.0,50.0,183.0,127.0,34.0,4629.0,932.0,7866.169603441144,0,0,0,0.0,255.0,0
63,spring-data-gemfire,org.springframework.data.gemfire.CacheFactoryBeanTest.createFactory,10.0,1.0,0.3,2.0,0.0,1,0.0,0,0.0,0.0,0.0,1354.0,4106.0,2.0,50.0,183.0,127.0,34.0,4629.0,932.0,7866.169603441144,0,0,0,0.0,255.0,0
63,spring-data-gemfire,org.springframework.data.gemfire.CacheFactoryBeanTest.initializesFactoryWitCacheFactoryInitializer,10.0,2.0,0.1,2.0,0.0,3,0.0,0,2.0,0.0,0.0,1354.0,4106.0,2.0,50.0,183.0,127.0,34.0,4629.0,932.0,7866.169603441144,0,0,0,0.0,255.0,0
63,spring-data-gemfire,org.springframework.data.gemfire.CacheFactoryBeanTest.initializeFactoryWhenNoCacheFactoryInitializerIsPresentIsNullSafe,7.0,2.0,0.1428571428571428,2.0,0.0,2,0.0,0,1.0,0.0,0.0,1354.0,4106.0,2.0,50.0,183.0,127.0,34.0,4629.0,932.0,7866.169603441144,0,0,0,0.0,255.0,0
63,spring-data-gemfire,org.springframework.data.gemfire.CacheFactoryBeanTest.configureFactoryWithUnspecifiedPdxOptions,9.0,2.0,0.0,1.0,0.0,5,0.0,0,6.0,0.0,0.0,1354.0,4106.0,2.0,50.0,183.0,127.0,34.0,4629.0,932.0,7866.169603441144,0,0,0,0.0,255.0,0
