id,projectName,test_name,isFlaky,tokenList,java_keywords,javaKeysCounter,abstract_keyword,assert_keyword,boolean_keyword,break_keyword,byte_keyword,case_keyword,catch_keyword,char_keyword,class_keyword,continue_keyword,default_keyword,do_keyword,double_keyword,else_keyword,enum_keyword,exports_keyword,extends_keyword,final_keyword,finally_keyword,float_keyword,for_keyword,if_keyword,implements_keyword,import_keyword,instanceof_keyword,int_keyword,interface_keyword,long_keyword,modules_keyword,native_keyword,new_keyword,package_keyword,private_keyword,protected_keyword,public_keyword,requires_keyword,return_keyword,short_keyword,static_keyword,strictfp_keyword,super_keyword,switch_keyword,synchronized_keyword,this_keyword,throw_keyword,throws_keyword,transient_keyword,try_keyword,void_keyword,volatile_keyword,while_keyword,true_keyword,null_keyword,false_keyword,const_keyword,goto_keyword
10307,apache-ambari,org.apache.ambari.server.agent.testheartbeathandler.testheartbeat,0,"['equals', 'setstate', 'state', 'execution', 'get', 'handleregistration', 'hoststatus', 'beat', 'hostinfo', 'manager', 'profile', 'centos', 'enqueue', 'ipv', 'assert', 'setostype', 'type', 'setnodestatus', 'unhealthy', 'registration', '2', 'reg', 'sethostname', 'setos', 'ok', 'action', 'actiondbinmemoryimpl', 'clusters', 'set', 'handle', 'setcommandid', 'healthy', 'actionmanager', 'host', 'memory', 'object', 'size', 'heart', 'cent', 'response', 'executioncommand', 'in', 'add', 'release', 'aq', 'sethardwareprofile', 'exec', 'command', 'all', 'setresponseid', 'string', 'setipv', 'actionqueue', 'name', 'setosrelease', 'register', 'getstate', 'heartbeat', 'hardware', 'hb', 'hostname', 'fsm', 'gethost', 'execcmd', 'handler', 'os', 'addhost', 'hostobject', 'dequeueall', 'handleheartbeat', 'node', 'cmd', 'info', 'heartbeathandler', 'id', 'injector', 'exception', 'dequeue', 'hoststate', 'impl', 'queue', 'test', 'pv', 'testheartbeat', 'assertequals', 'status']","['new', 'null', 'null', 'new', 'new', 'new', 'new', 'new', 'new', 'new', 'new', 'new', 'public', 'void', 'throws']",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0
10308,apache-ambari,org.apache.ambari.server.agent.testheartbeathandler.teststatusheartbeat,0,"['map', 'to', 'equals', 'setstate', 'state', 'addservicecomponent', 'installed', 'get', 'setdesiredstackversion', 'handleregistration', 'setcomponentstatus', 'hoststatus', 'suppress', 'beat', 'hostinfo', 'report', 'getservice', 'manager', 'role', 'millis', 'hashset', 'profile', 'servicecomponenthost', 'version', 'centos', 'arraylist', 'assert', 'addcluster', 'setostype', 'type', 'setnodestatus', 'setcomponentname', 'setreports', 'hdp', 'registration', 'array', 'reg', 'setstatus', 'list', 'sethostname', 'settimestamp', 'stackid', 'setos', 'getcluster', 'ok', 'action', 'getservicecomponenthost', 'actiondbinmemoryimpl', 'desired', 'clusters', 'component', 'set', 'handle', 'setclustername', 'healthy', 'actionmanager', 'maphoststocluster', 'host', 'memory', 'stack', 'heart', 'suppresswarnings', 'cent', 'hash', 'response', 'hdfs', 'teststatusheartbeat', 'componentstate', 'servicename', 'in', 'add', 'release', 'aq', 'names', 'sethardwareprofile', 'command', 'setresponseid', 'componentstatuses', 'string', 'started', 'current', 'datanode', 'actionqueue', 'clustername', 'name', 'setosrelease', 'setmessage', 'system', 'register', 'getstate', 'addservicecomponenthost', 'statuses', 'heartbeat', 'hardware', 'hostnames', 'hostname', 'hb', 'gethost', 'namenode', 'handler', 'componentstatus', 'os', 'addservice', 'addhost', 'status', 'hosts', 'handleheartbeat', 'node', 'currenttimemillis', 'message', 'info', 'heartbeathandler', 'setservicename', 'service', 'id', 'injector', 'exception', 'commandreport', 'warnings', 'componentname', 'getservicecomponent', 'secondary', 'impl', 'serial', 'queue', 'test', 'reports', 'cluster', 'timestamp', 'time', 'assertequals', 'persist']","['new', 'null', 'null', 'new', 'final', 'new', 'new', 'new', 'new', 'new', 'new', 'new', 'new', 'new', 'new', 'new', 'public', 'void', 'throws']",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0
10309,apache-ambari,org.apache.ambari.server.agent.testheartbeathandler.testcommandreport,0,"['equals', 'err', 'stage', 'ambari', 'getallstages', 'get', 'injectmembers', 'members', 'actiondbaccessorimpl', 'std', 'request', 'setstderr', 'stageutils', 'requestid', 'hbase', 'report', 'manager', 'role', 'getinstance', 'getactionid', 'getaction', 'arraylist', 'assert', 'actiondbaccessor', 'addcluster', 'accessor', 'stages', 'setactionid', 'settaskid', 'scheduled', 'master', 'array', 'hostrolestatus', 'setstatus', 'list', 'populateactiondb', 'hostrolescheduled', 'action', 'task', 'testcommandreport', 'clusters', 'set', 'actionmanager', 'getexitcode', 'host', 'populate', 'process', 'response', 'inject', 'out', 'add', 'cr', 'instance', 'gethostrolestatus', 'command', 'all', 'setstdout', 'string', 'actionqueue', 'clustername', 'name', 'persist', 'getstageid', 'hostname', 'gethost', 'addhost', 'exit', 'db', 'completed', 'utils', 'setrole', 'processtaskresponse', 'stageid', 'queued', 'setexitcode', 'id', 'injector', 'exception', 'commandreport', 'impl', 'queue', 'test', 'code', 'reports', 'cluster', 'assertequals', 'ambariexception', 'status', 'sethostrolestatus']","['this', 'class', 'new', 'new', 'new', 'new', 'public', 'void', 'throws']",9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
10311,apache-ambari,org.apache.ambari.server.agent.testheartbeathandler.testregistration,0,"['handler', 'equals', 'os', 'addhost', 'hostobject', 'type', 'asserttrue', 'state', 'ambari', 'in', 'add', 'getostype', 'getlastregistrationtime', 'get', 'registration', 'ambariexception', 'invalidstatetransitionexception', 'sethardwareprofile', 'handleregistration', 'reg', 'info', 'heartbeathandler', 'sethostname', 'beat', 'string', 'setipv', 'hostinfo', 'setos', 'action', 'actiondbinmemoryimpl', 'exception', 'injector', 'time', 'invalid', 'clusters', 'set', 'actionqueue', 'handle', 'healthy', 'actionmanager', 'name', 'true', 'testregistration', 'manager', 'host', 'transition', 'memory', 'hoststate', 'object', 'last', 'getlastheartbeattime', 'register', 'profile', 'getstate', 'impl', 'heart', 'queue', 'test', 'heartbeat', 'pv', 'hardware', 'centos', 'assertequals', 'ipv', 'assert', 'hostname', 'fsm', 'gethost']","['new', 'null', 'null', 'new', 'new', 'new', 'new', 'new', 'public', 'void', 'throws']",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0
10312,apache-ambari,org.apache.ambari.server.agent.testheartbeathandler.testregistrationpublichostname,0,"['handler', 'equals', 'os', 'addhost', 'hostobject', 'type', 'asserttrue', 'state', 'ambari', 'in', 'add', 'getostype', 'getlastregistrationtime', 'get', 'public', 'registration', 'verify', 'ambariexception', 'invalidstatetransitionexception', 'sethardwareprofile', 'handleregistration', '-public', 'reg', 'info', 'heartbeathandler', 'getpublichostname', 'sethostname', 'beat', 'string', 'setipv', 'hostinfo', 'setos', 'verifyhost', 'action', 'actiondbinmemoryimpl', 'exception', 'injector', 'time', 'testregistrationpublichostname', 'clusters', 'set', 'actionqueue', 'setpublichostname', 'handle', 'invalid', 'healthy', 'actionmanager', 'name', 'true', 'manager', 'host', 'transition', 'memory', 'hoststate', 'object', 'last', 'getlastheartbeattime', 'register', 'profile', 'getstate', 'impl', 'heart', 'queue', 'test', 'heartbeat', 'pv', 'hardware', 'centos', 'assertequals', 'ipv', 'assert', 'hostname', 'fsm', 'gethost']","['new', 'null', 'null', 'new', 'new', 'new', 'new', 'new', 'public', 'void', 'throws']",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0
10313,apache-ambari,org.apache.ambari.server.agent.testheartbeathandler.testinvalidosregistration,0,"['handler', 'non', 'os', 'addhost', 'hostobject', 'type', 'operating', 'ambari', 'in', 'add', 'state', 'get', 'fail', 'registration', 'mega', 'ambariexception', 'invalidstatetransitionexception', 'sethardwareprofile', 'handleregistration', 'reg', 'info', 'failure', 'heartbeathandler', 'sethostname', 'beat', 'string', 'setipv', 'hostinfo', 'setos', 'action', 'actiondbinmemoryimpl', 'exception', 'injector', 'invalid', 'clusters', 'set', 'actionqueue', 'handle', 'actionmanager', 'megaoperatingsystem', 'name', 'expected', 'manager', 'system', 'host', 'transition', 'memory', 'object', 'testinvalidosregistration', 'register', 'profile', 'impl', 'heart', 'queue', 'test', 'pv', 'hardware', 'ipv', 'matching', 'hostname', 'fsm', 'gethost']","['new', 'null', 'null', 'new', 'new', 'new', 'new', 'new', 'try', 'for', 'catch', 'public', 'void', 'throws']",14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0
10314,apache-ambari,org.apache.ambari.server.agent.testheartbeathandler.testregisternewnode,0,"['response', 'commands', 'handler', 'equals', 'os', 'is', 'addhost', 'hostobject', 'type', 'getstatuscommands', 'empty', 'status', 'asserttrue', 'state', 'ambari', 'in', 'add', 'registrationstatus', 'getostype', 'get', 'node', 'registration', 'ambariexception', 'testregisternewnode', 'invalidstatetransitionexception', 'sethardwareprofile', 'getresponsestatus', 'handleregistration', 'new', 'reg', 'info', 'registrationresponse', 'heartbeathandler', 'sethostname', 'string', 'setipv', 'beat', 'hostinfo', 'setos', 'ok', 'isempty', 'action', 'actiondbinmemoryimpl', 'id', 'injector', 'exception', 'invalid', 'clusters', 'set', 'actionqueue', 'handle', 'healthy', 'actionmanager', 'name', 'true', 'manager', 'host', 'transition', 'memory', 'hoststate', 'object', 'register', 'profile', 'getstate', 'impl', 'heart', 'queue', 'redhat', 'test', 'pv', 'hardware', 'getresponseid', 'assertequals', 'ipv', 'assert', 'hostname', 'fsm', 'gethost']","['new', 'null', 'null', 'new', 'new', 'new', 'new', 'new', 'public', 'void', 'throws']",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0
10315,apache-ambari,org.apache.ambari.server.agent.testheartbeathandler.testrequestid,0,"['jaxb', 'to', 'equals', 'is', 'hbresponse', 'ioexception', 'stage', 'debug', 'state', 'get', 'newhost', 'new', 'handleregistration', 'request', 'stageutils', 'beat', 'hostinfo', 'responseid', 'invalid', 'jaxbtostring', 'getinstance', 'profile', '0l', 'getresponseid', '2l', 'assert', 'assertfalse', 'cached', 'registration', 'agent', 'registrationresponse', 'jaxbexception', 'settimestamp', 'sethostname', 'setos', 'set', 'handle', 'healthy', 'host', '1l', 'transition', 'testrequestid', 'heart', 'redhat', 'construct', 'not', 'response', 'incremented', 'asserttrue', 'zero', 'instance', 'generation', 'invalidstatetransitionexception', 'sethardwareprofile', 'setresponseid', 'isrestartagent', 'string', 'name', 'start', 'register', 'heartbeat', 'hardware', 'heartbeatresponse', 'flagged', 'returned', 'hb', 'hostname', 'jsongenerationexception', 'handler', 'utils', 'false', 'handleheartbeat', 'info', 'heartbeathandler', 'log', '20l', 'id', 'injector', 'exception', 'constructheartbeat', 'gettime', 'test', 'date', 'json', 'assertequals', 'timestamp', 'time', 'status', 'true', 'restart']","['class', 'new', 'new', 'new', 'for', 'for', 'public', 'void', 'throws']",9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
10317,apache-ambari,org.apache.ambari.server.agent.testheartbeathandler.teststatecommandsatregistration,0,"['equals', 'state', 'ambari', 'get', 'handleregistration', 'beat', 'hostinfo', 'invalid', 'then', 'monitor', 'manager', 'profile', 'mock', 'generatestatuscommands', 'ipv', 'assert', 'arraylist', 'setheartbeatmonitor', 'any', 'teststatecommandsatregistration', 'registration', 'array', 'dummycmds', 'return', 'reg', 'registrationresponse', 'list', 'sethostname', 'setos', 'action', 'actiondbinmemoryimpl', 'set', 'clusters', 'handle', 'setclustername', 'actionmanager', 'host', 'transition', 'memory', 'object', 'size', 'heart', 'redhat', 'anystring', 'response', 'hdfs', 'statuscmd', 'asserttrue', 'statuscommand', 'in', 'add', 'invalidstatetransitionexception', 'sethardwareprofile', 'command', 'heartbeatmonitor', 'string', 'setipv', 'at', 'actionqueue', 'name', 'register', 'heartbeat', 'hardware', 'hostname', 'generate', 'fsm', 'gethost', 'commands', 'dummy', 'hm', 'handler', 'addhost', 'hostobject', 'getstatuscommands', 'thenreturn', 'cmd', 'info', 'heartbeathandler', 'setservicename', 'service', 'exception', 'injector', 'impl', 'queue', 'test', 'pv', 'cmds', 'cluster', 'ambariexception', 'status', 'true']","['new', 'new', 'class', 'new', 'null', 'null', 'new', 'new', 'new', 'new', 'new', 'public', 'void', 'throws']",14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0
10318,apache-ambari,org.apache.ambari.server.agent.testheartbeathandler.testtaskinprogresshandling,0,"['map', 'to', 'err', 'equals', 'setstate', 'stage', 'state', 'ambari', 'addservicecomponent', 'get', 'std', 'setdesiredstackversion', 'handleregistration', 'setcomponentstatus', 'hoststatus', 'request', 'installing', 'setstderr', 'suppress', 'stageutils', 'beat', 'requestid', 'hostinfo', 'invalid', 'still', 'report', 'getservice', 'manager', 'role', 'millis', 'hashset', 'profile', 'none', 'servicecomponenthost', 'version', 'centos', 'getactionid', 'arraylist', 'assert', 'addcluster', 'setostype', 'type', 'setnodestatus', 'setactionid', 'settaskid', 'setreports', 'hdp', 'registration', 'array', 'reg', 'setstatus', 'list', 'sethostname', 'settimestamp', 'stackid', 'setos', 'getcluster', 'ok', 'action', 'getservicecomponenthost', 'actiondbinmemoryimpl', 'desired', 'task', 'clusters', 'component', 'set', 'handle', 'setclustername', 'healthy', 'actionmanager', 'maphoststocluster', 'testtaskinprogresshandling', 'host', 'transition', 'memory', 'stack', 'heart', 'suppresswarnings', 'cent', 'hash', 'progress', 'response', 'hdfs', 'componentstate', 'servicename', 'out', 'in', 'add', 'release', 'aq', 'cr', 'invalidstatetransitionexception', 'names', 'sethardwareprofile', 'command', 'setstdout', 'setresponseid', 'string', 'current', 'datanode', 'actionqueue', 'clustername', 'name', 'setosrelease', 'system', 'register', 'getstate', 'addservicecomponenthost', 'heartbeat', 'hardware', 'hostnames', 'hostname', 'hb', 'gethost', 'namenode', 'dummy', 'handler', 'componentstatus', 'os', 'addservice', 'addhost', 'exit', 'status', 'output', 'hosts', 'utils', 'handleheartbeat', 'setrole', 'node', 'currenttimemillis', 'ambariexception', 'info', 'heartbeathandler', 'setservicename', 'stageid', 'service', 'setexitcode', 'id', 'injector', 'exception', 'commandreport', 'warnings', 'componentname', 'getservicecomponent', 'secondary', 'impl', 'serial', 'queue', 'code', 'test', 'handling', 'reports', 'cluster', 'timestamp', 'time', 'assertequals', 'persist']","['new', 'null', 'null', 'new', 'final', 'new', 'new', 'new', 'new', 'new', 'new', 'new', 'new', 'new', 'new', 'new', 'public', 'void', 'throws']",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0
