id,projectName,test_name,isFlaky,tokenList,java_keywords,javaKeysCounter,abstract_keyword,assert_keyword,boolean_keyword,break_keyword,byte_keyword,case_keyword,catch_keyword,char_keyword,class_keyword,continue_keyword,default_keyword,do_keyword,double_keyword,else_keyword,enum_keyword,exports_keyword,extends_keyword,final_keyword,finally_keyword,float_keyword,for_keyword,if_keyword,implements_keyword,import_keyword,instanceof_keyword,int_keyword,interface_keyword,long_keyword,modules_keyword,native_keyword,new_keyword,package_keyword,private_keyword,protected_keyword,public_keyword,requires_keyword,return_keyword,short_keyword,static_keyword,strictfp_keyword,super_keyword,switch_keyword,synchronized_keyword,this_keyword,throw_keyword,throws_keyword,transient_keyword,try_keyword,void_keyword,volatile_keyword,while_keyword,true_keyword,null_keyword,false_keyword,const_keyword,goto_keyword
7327,ninjaframework-ninja,ninja.resultstest.testresultsstatus,0,"['get', 'results', 'result', 'assert', 'equals', 'testresultsstatus', 'test', 'code', 'getstatuscode', 'assertequals', 'status']","['public', 'void']",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7328,ninjaframework-ninja,ninja.resultstest.testresultsok,0,"['get', 'ok', 'results', 'result', 'equals', 'testresultsok', 'test', 'code', 'getstatuscode', 'status', 'assertequals', 'assert']","['public', 'void']",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7329,ninjaframework-ninja,ninja.resultstest.testresultsnotfound,0,"['get', 'found', 'results', 'result', 'testresultsnotfound', 'sc', 'equals', '404', 'test', 'code', 'notfound', 'getstatuscode', 'status', 'assertequals', 'not', 'assert']","['public', 'void']",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7330,ninjaframework-ninja,ninja.resultstest.testresultsforbidden,0,"['get', 'sc', 'results', 'result', 'testresultsforbidden', 'equals', 'test', 'code', 'getstatuscode', 'forbidden', 'status', 'assertequals', 'assert', '403']","['public', 'void']",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7331,ninjaframework-ninja,ninja.resultstest.testresultsbadrequest,0,"['get', 'testresultsbadrequest', 'sc', 'results', 'result', 'equals', 'test', 'code', 'getstatuscode', 'request', 'status', 'badrequest', 'assertequals', '400', 'assert', 'bad']","['public', 'void']",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7332,ninjaframework-ninja,ninja.resultstest.testresultsnocontent,0,"['renderable', 'results', 'equals', 'asserttrue', 'nocontent', 'get', 'testresultsnocontent', 'assert', 'body', 'getstatuscode', 'getrenderable', 'result', '204', 'content', 'nohttpbody', 'sc', 'http', 'test', 'code', 'assertequals', 'status', 'true']","['instanceof', 'public', 'void']",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7333,ninjaframework-ninja,ninja.resultstest.testresultsinternalservererror,0,"['get', 'server', 'internalservererror', 'results', 'result', 'sc', 'equals', 'error', '500', 'testresultsinternalservererror', 'test', 'code', 'getstatuscode', 'status', 'assertequals', 'assert', 'internal']","['public', 'void']",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7334,ninjaframework-ninja,ninja.resultstest.testresultsredirect,0,"['renderable', 'results', 'equals', 'headers', 'asserttrue', 'com', 'get', 'assert', 'redirect', 'body', 'getstatuscode', 'see', 'getrenderable', 'example', 'result', 'location', 'getheaders', 'nohttpbody', '303', 'sc', 'http', 'test', 'code', 'testresultsredirect', 'assertequals', 'status', 'true', 'other']","['instanceof', 'public', 'void']",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7335,ninjaframework-ninja,ninja.resultstest.testresultsredirecttemporary,0,"['renderable', 'results', 'testresultsredirecttemporary', 'equals', 'redirecttemporary', 'headers', 'asserttrue', 'com', 'get', 'assert', 'redirect', 'body', 'getstatuscode', 'getrenderable', 'example', 'temporary', 'result', 'location', 'getheaders', 'nohttpbody', '307', 'sc', 'http', 'test', 'code', 'assertequals', 'status', 'true']","['instanceof', 'public', 'void']",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7336,ninjaframework-ninja,ninja.resultstest.testresultscontenttype,0,"['text', 'get', 'sc', 'results', 'result', 'testresultscontenttype', 'ok', 'contenttype', 'equals', 'getcontenttype', 'content', 'test', 'code', 'type', 'getstatuscode', 'status', 'assertequals', '200', 'assert', 'my-cool-content-type']","['public', 'void']",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
